"DESCRIPTION_RPA"|"CODE_RPA"
"\A EN TOUT TEMPS DU COTE DROIT"|"AD-CD"
"\A EN TOUT TEMPS DES DEUX COTES"|"AD-DC"
"\A 07h-19h"|"AD-JA"
"\A 06h-19h"|"AD-JB"
"\A 00h-07h"|"AD-JC"
"\A 22h-07h"|"AD-NM"
"\A 08h-21h30"|"AD-TB"
"\A AUX CAMIONS"|"AD-TE"
"\A 08h-20h"|"AD-TF"
"\A 09h-22h"|"AD-TG"
"\A EN TOUT TEMPS"|"AD-TT"
"\A POMPIER URGENCE"|"AD-TU"
"\A EN TOUT TEMPS (ORANGE POUR TRAVAUX)"|"AD-TW"
"\A 08h-16h JOURS D'ECOLE"|"AE-JB"
"\A 08h-17h JOURS D'ECOLE"|"AE-JC"
"\A 07h30-16h JOURS D'ECOLE"|"AE-JD"
"\A 07h30-17h JOURS D`ECOLE"|"AE-JE"
"\A 07h-18h   JOURS D'ECOLE"|"AE-JF"
"\A 07h30-18h JOURS D'ECOLE"|"AE-JH"
"\A 07h-16h JOURS D'ECOLE"|"AE-JI"
"\A 07h30-17h30 JOURS D'ECOLE"|"AE-JJ"
"\A 07h-18h LUN A VEN SEPT. A JUIN"|"AE-JM"
"\A 08h-9h30 ET 15h-16h JOURS D`ECOLE"|"AE-QA"
"\A 07h30-08h30  ET  14h30-15H30  JOURS D'ECOLE"|"AE-QB"
"\A 07h-08h ET 13h-15h LUN A VEN SEPT. A JUIN EXCEPTE AUTOBUS SCOLAIRE"|"AE-QD"
"\A 08h-16h LUN A VEN SEPT. A JUIN EXCEPTE AUTOBUS SCOLAIRE"|"AE-QE"
"\A RESERVE AUTOBUS 07h-09h30 LUN. AU VEN."|"AR-AA"
"\A RESERVE AUTOBUS 08h-16h LUN. AU VEN."|"AR-JA"
"\A RESERVE AUTOBUS 15h-18h30 LUN. AU VEN."|"AR-PA"
"\A RESERVE AUTOBUS"|"AR-TT"
"\A EXCEPTE CAMION S.O.S."|"AS-OS"
"\A 07h-09h30 LUN. AU VEN."|"AV-AA"
