"POTEAU_ID_POT"|"DATE_CONCEPTION_POT"|"DESCRIPTION_REP"|"DESCRIPTION_RTP"|"X"|"Y"|"ID_ARRONDISSEMENT"|"TRC_ID"
"125995"|"20101103000000"|"Réel"|"1- Tige et base"|"298841.156"|"5054309.5"|"9"|"1624607"
"215271"|"20101103000000"|"Réel"|"3- Fût"|"298824.259"|"5054311.576"|"9"|"1624607"
"125687"|"20010613000000"|"Réel"|"1- Tige et base"|"297109.663"|"5052664.134"|"9"|"4001307"
"125710"|"20010613000000"|"Réel"|"11- Pot. bois/feux"|"297484.624"|"5052985.315"|"9"|"4010897"
"125714"|"20010613000000"|"Réel"|"10- Fût et feux"|"297498.844"|"5052999.887"|"9"|"1624592"
"125718"|""|"Enlevé"|"4- Poteau en bois"|"297501.632"|"5053007.378"|"9"|"1624592"
"125719"|"20010613000000"|"Réel"|"1- Tige et base"|"297515.909"|"5053021.329"|"9"|"1624592"
"125723"|"20010613000000"|"Réel"|"3- Fût"|"297545.892"|"5053070.063"|"9"|"1624590"
"125737"|"20010613000000"|"Réel"|"1- Tige et base"|"297581.145"|"5053083.555"|"9"|"1624592"
"125739"|""|"Enlevé"|"4- Poteau en bois"|"297604.868"|"5053106.407"|"9"|"1624592"
"125740"|"20010613000000"|"Réel"|"6- Base amovible"|"297613.438"|"5053112.798"|"9"|"1624592"
"125750"|""|"Enlevé"|"4- Poteau en bois"|"297651.553"|"5053151.582"|"9"|"1624593"
"125757"|"20010613000000"|"Réel"|"3- Fût"|"297780.524"|"5053298.435"|"9"|"1624594"
"125769"|"20010613000000"|"Réel"|"2- Tige et manchon"|"297795.338"|"5053313.057"|"9"|"1624594"
"125772"|""|"Enlevé"|"4- Poteau en bois"|"297845.29"|"5053341.63"|"9"|"1624596"
"125774"|""|"Enlevé"|"4- Poteau en bois"|"297781.01"|"5053276.844"|"9"|"1624596"
"125780"|""|"Enlevé"|"4- Poteau en bois"|"297762.064"|"5053260.592"|"9"|"1624593"
"125784"|"20010613000000"|"Réel"|"1- Tige et base"|"297746.747"|"5053245.8"|"9"|"1624593"
"125787"|"20010613000000"|"Réel"|"1- Tige et base"|"297737.162"|"5053236.52"|"9"|"1624593"
"125789"|"20010613000000"|"Réel"|"3- Fût"|"297703.74"|"5053223.388"|"9"|"1624591"
"125790"|"20010613000000"|"Réel"|"3- Fût"|"297687.326"|"5053207.087"|"9"|"1624591"
"125810"|""|"Enlevé"|"4- Poteau en bois"|"297866.785"|"5053362.292"|"9"|"1624596"
"125826"|"20010613000000"|"Enlevé"|"11- Pot. bois/feux"|"297941.341"|"5053433.188"|"9"|"1624597"
"125849"|"20010613000000"|"Réel"|"3- Fût"|"298092.219"|"5053601.5"|"9"|"1624598"
"125860"|"20010613000000"|"Réel"|"3- Fût"|"298114.564"|"5053623.527"|"9"|"1624598"
"125865"|""|"Enlevé"|"4- Poteau en bois"|"298163.361"|"5053650.87"|"9"|"1624600"
