"POTEAU_ID_POT"|"DATE_CONCEPTION_POT"|"DESCRIPTION_REP"|"DESCRIPTION_RTP"|"X"|"Y"|"ID_ARRONDISSEMENT"|"TRC_ID"
"147221"|"20020109000000"|"Enlevé"|"6- Base amovible"|"297699.237"|"5034118.254"|"12"|"1601636"
"116466"|"20001214000000"|"Réel"|"3- Fût"|"297367.069"|"5033652.809"|"12"|"1624883"
"64345"|"20060316000000"|"Réel"|"1- Tige et base"|"297719.684"|"5034194.861"|"12"|"1624196"
"116467"|"20001214000000"|"Réel"|"3- Fût"|"297349.599"|"5033623.146"|"12"|"1624883"
"157486"|"20121001000000"|"Réel"|"3- Fût"|"297733.375"|"5034098"|"12"|"1604509"
"116549"|"20001214000000"|"Réel"|"3- Fût"|"297750.822"|"5034216.093"|"12"|"4010711"
"64349"|"20131216000000"|"Réel"|"3- Fût"|"297729.375"|"5034185"|"12"|"4010711"
"64361"|"20131216000000"|"Réel"|"3- Fût"|"297659.906"|"5034086"|"12"|"1625003"
"116455"|"20131216000000"|"Réel"|"3- Fût"|"297432.563"|"5033754"|"12"|"1624883"
"157488"|"20121001000000"|"Réel"|"3- Fût"|"297710.781"|"5034095"|"12"|"1604509"
"116460"|"20101214000000"|"Réel"|"1- Tige et base"|"297425.938"|"5033722.5"|"12"|"1340576"
"116505"|"20001214000000"|"Réel"|"9- Autres"|"297284.577"|"5033487.263"|"12"|"4008697"
"116818"|"20001214000000"|"Réel"|"3- Fût"|"298481.515"|"5036030.958"|"12"|"1623798"
"222783"|"20121001000000"|"Réel"|"3- Fût"|"297735.066"|"5034078.118"|"12"|"1604509"
"62202"|"19990110000000"|"Réel"|"1- Tige et base"|"297132.247"|"5033235.349"|"12"|"4008697"
"62212"|"19990110000000"|"Réel"|"10- Fût et feux"|"297566.406"|"5033926.645"|"12"|"4002680"
"157485"|"20121001000000"|"Réel"|"3- Fût"|"297718.844"|"5034107.5"|"12"|"1604509"
"147224"|"20041105000000"|"Enlevé"|"1- Tige et base"|"297704.573"|"5034107.973"|"12"|"1604509"
"116450"|"20100518000000"|"Réel"|"1- Tige et base"|"297462.688"|"5033775.5"|"12"|"1340576"
"157490"|"20041105000000"|"Enlevé"|"10- Fût et feux"|"297692.34"|"5034106.5"|"12"|"1601636"
"147222"|"20020109000000"|"Enlevé"|"1- Tige et base"|"297695.904"|"5034108.823"|"12"|"1601636"
"147223"|"20020109000000"|"Enlevé"|"1- Tige et base"|"297699.088"|"5034111.343"|"12"|"1601636"
"116797"|"20100616000000"|"Réel"|"3- Fût"|"298481.281"|"5035951.5"|"12"|"1601374"
"157487"|"20121001000000"|"Réel"|"3- Fût"|"297724.656"|"5034085.5"|"12"|"1604509"
"157481"|"20121001000000"|"Réel"|"3- Fût"|"297697.531"|"5034103.5"|"12"|"1604509"
"116500"|"20060616000000"|"Réel"|"1- Tige et base"|"297298.781"|"5033516.156"|"12"|"1340576"
"116504"|"20060616000000"|"Réel"|"1- Tige et base"|"297280.296"|"5033484.143"|"12"|"4008697"
"116794"|"20091111000000"|"Réel"|"1- Tige et base"|"298470"|"5035892.5"|"12"|"1351021"
"80751"|"20000515000000"|"Enlevé"|"2- Tige et manchon"|"297748.99"|"5034087.201"|"12"|"1604510"
"64362"|""|"Réel"|"1- Tige et base"|"297669.534"|"5034076.61"|"12"|"1625003"
"64359"|""|"Enlevé"|"2- Tige et manchon"|"297693.083"|"5034107.193"|"12"|"1601636"
"147230"|"20020109000000"|"Enlevé"|"1- Tige et base"|"297693.76"|"5034106.743"|"12"|"1601636"
"64363"|""|"Réel"|"1- Tige et base"|"297658.028"|"5034060.508"|"12"|"1625003"
"116459"|"20060616000000"|"Réel"|"1- Tige et base"|"297383.013"|"5033655.499"|"12"|"1340576"
"116501"|"20060616000000"|"Enlevé"|"1- Tige et base"|"297298.748"|"5033511.755"|"12"|"1340576"
"62186"|"20060616000000"|"Réel"|"1- Tige et base"|"297032.484"|"5033071.673"|"12"|"4008697"
"64371"|"19991015000000"|"Réel"|"1- Tige et base"|"297624.969"|"5034012.204"|"12"|"4006111"
"62226"|"20110629000000"|"Réel"|"1- Tige et base"|"298480.156"|"5035827"|"12"|"1350623"
"186616"|"20110606000000"|"Réel"|"2- Tige et manchon"|"298471.5"|"5035932"|"12"|"1351021"
"157482"|"20121001000000"|"Réel"|"3- Fût"|"297706.219"|"5034116"|"12"|"1604509"
"116796"|"20111212000000"|"Réel"|"10- Fût et feux"|"298475.329"|"5035955.481"|"12"|"1623798"
"80750"|"20000515000000"|"Enlevé"|"2- Tige et manchon"|"297740.783"|"5034076.78"|"12"|"1604510"
"116795"|"20001214000000"|"Réel"|"10- Fût et feux"|"298472.549"|"5035933.379"|"12"|"1351021"
"64356"|"20121001000000"|"Réel"|"10- Fût et feux"|"297689.031"|"5034104.5"|"12"|"1625003"
"116798"|"20001214000000"|"Réel"|"1- Tige et base"|"298476.756"|"5035974.053"|"12"|"1623798"
"147220"|"20020109000000"|"Enlevé"|"6- Base amovible"|"297693.199"|"5034109.323"|"12"|"1601636"
"64352"|"20121009000000"|"Réel"|"1- Tige et base"|"297707.188"|"5034154"|"12"|"4010711"
"64357"|"20121015000000"|"Réel"|"10- Fût et feux"|"297678.344"|"5034112.5"|"12"|"1625003"
"64346"|"20121015000000"|"Réel"|"10- Fût et feux"|"297690.438"|"5034130.5"|"12"|"4010711"
"64364"|"20140828000000"|"Réel"|"3- Fût"|"297641.188"|"5034058.5"|"12"|"4006111"
"116799"|"20001214000000"|"Réel"|"3- Fût"|"298477.779"|"5035983.414"|"12"|"1623798"
"116519"|"20001214000000"|"Réel"|"1- Tige et base"|"297230.427"|"5033399.154"|"12"|"4008697"
"116824"|"20001214000000"|"Réel"|"9- Autres"|"298461.497"|"5036083.804"|"12"|""
"222784"|"20121001000000"|"Réel"|"3- Fût"|"297745.906"|"5034091"|"12"|"1604509"
"157489"|"20041105000000"|"Enlevé"|"10- Fût et feux"|"297701.4"|"5034119"|"12"|"1601636"
"64358"|""|"Enlevé"|"2- Tige et manchon"|"297701.15"|"5034118.304"|"12"|"1601636"
