"POTEAU_ID_POT"|"DATE_CONCEPTION_POT"|"DESCRIPTION_REP"|"DESCRIPTION_RTP"|"X"|"Y"|"ID_ARRONDISSEMENT"|"TRC_ID"
"169030"|"20081217000000"|"Réel"|"3- Fût"|"297943.969"|"5049777"|"14"|"1614577"
"176668"|"20081010000000"|"Réel"|"2- Tige et manchon"|"297022.733"|"5048837.406"|"14"|"1611845"
"172814"|"20080827000000"|"Réel"|"3- Fût"|"298928.063"|"5050016.5"|"14"|"1612344"
"167906"|"20071203000000"|"Réel"|"2- Tige et manchon"|"298938.06"|"5050212.5"|"14"|"1612295"
"167909"|"20071203000000"|"Réel"|"2- Tige et manchon"|"298974.8"|"5050269"|"14"|"4010883"
"170275"|"20071220000000"|"Réel"|"3- Fût"|"296618.66"|"5048571.5"|"14"|"1611753"
"167911"|"20071203000000"|"Réel"|"2- Tige et manchon"|"299007.38"|"5050324"|"14"|"4010883"
"173018"|"20080827000000"|"Réel"|"13- Poteau en acier"|"298646.438"|"5049497.5"|"14"|"1612241"
"167912"|"20071203000000"|"Réel"|"2- Tige et manchon"|"299003.66"|"5050336.5"|"14"|""
"167914"|"20071203000000"|"Réel"|"2- Tige et manchon"|"299027.8"|"5050357.5"|"14"|"4008980"
"167915"|"20071203000000"|"Réel"|"9- Autres"|"299050.78"|"5050396.5"|"14"|"4008980"
"173017"|"20080827000000"|"Réel"|"13- Poteau en acier"|"298624.563"|"5049452"|"14"|"1612241"
"177338"|"20081022000000"|"Réel"|"2- Tige et manchon"|"296312.699"|"5049000.547"|"14"|"1611720"
"173016"|"20080827000000"|"Réel"|"13- Poteau en acier"|"298594.219"|"5049393.5"|"14"|"1612241"
"170960"|"20081022000000"|"Réel"|"2- Tige et manchon"|"296313.563"|"5049274"|"14"|"1611718"
"173015"|"20080827000000"|"Réel"|"2- Tige et manchon"|"298586.25"|"5049365"|"14"|"1612241"
"167918"|"20071203000000"|"Réel"|"2- Tige et manchon"|"299075.03"|"5050434"|"14"|"4008981"
"170276"|"20071220000000"|"Réel"|"10- Fût et feux"|"296632.62"|"5048550.5"|"14"|"1611816"
"167920"|"20071203000000"|"Réel"|"2- Tige et manchon"|"299104.8"|"5050482.5"|"14"|"4008981"
"177337"|"20081022000000"|"Réel"|"13- Poteau en acier"|"296318.438"|"5049270.663"|"14"|"1611718"
"167922"|"20071203000000"|"Réel"|"2- Tige et manchon"|"299144.66"|"5050548"|"14"|"4008982"
"177336"|"20081022000000"|"Réel"|"13- Poteau en acier"|"296365.338"|"5049240.871"|"14"|"1611718"
"167923"|"20071203000000"|"Réel"|"2- Tige et manchon"|"299166.75"|"5050584"|"14"|"4008982"
"167925"|"20071203000000"|"Réel"|"9- Autres"|"299182.03"|"5050609"|"14"|"4008982"
"177335"|"20081022000000"|"Réel"|"13- Poteau en acier"|"296375.436"|"5049206.616"|"14"|"1611718"
"167926"|"20071203000000"|"Réel"|"2- Tige et manchon"|"299185.75"|"5050612"|"14"|"4008982"
"173007"|"20080827000000"|"Réel"|"2- Tige et manchon"|"298795.031"|"5049518"|"14"|"1612206"
"176667"|"20081010000000"|"Réel"|"2- Tige et manchon"|"296985.013"|"5048861.961"|"14"|"1611802"
"170277"|"20071220000000"|"Réel"|"3- Fût"|"296632.56"|"5048549.5"|"14"|"1611816"
"173006"|"20080827000000"|"Réel"|"13- Poteau en acier"|"298761.594"|"5049534"|"14"|"1612206"
"173004"|"20080827000000"|"Réel"|"13- Poteau en acier"|"298738.063"|"5049546.5"|"14"|"1612235"
"173003"|"20080827000000"|"Réel"|"2- Tige et manchon"|"298688.344"|"5049572"|"14"|"1612235"
"172812"|"20080827000000"|"Réel"|"3- Fût"|"298948.5"|"5050039"|"14"|"1612344"
"172996"|"20080827000000"|"Réel"|"3- Fût"|"298767.156"|"5049294"|"14"|"1612209"
"172995"|"20080827000000"|"Réel"|"3- Fût"|"298769.156"|"5049338"|"14"|"1612209"
"177837"|"20081030000000"|"Réel"|"2- Tige et manchon"|"296607.991"|"5050008.972"|"14"|"1612719"
"170278"|"20071220000000"|"Réel"|"2- Tige et manchon"|"296660.16"|"5048513"|"14"|"1611752"
"172993"|"20080827000000"|"Réel"|"3- Fût"|"298770.625"|"5049385.5"|"14"|"1612239"
"172992"|"20080827000000"|"Réel"|"3- Fût"|"298776.188"|"5049437"|"14"|"1612239"
"172991"|"20080827000000"|"Réel"|"3- Fût"|"298792.594"|"5049478"|"14"|"1612237"
"170279"|"20071220000000"|"Réel"|"2- Tige et manchon"|"296676.84"|"5048488.5"|"14"|"1611752"
"172811"|"20080827000000"|"Réel"|"3- Fût"|"298983.844"|"5050075"|"14"|"1612344"
"177334"|"20081022000000"|"Réel"|"2- Tige et manchon"|"296344.9"|"5049160.105"|"14"|"1611718"
"177836"|"20081030000000"|"Réel"|"13- Poteau en acier"|"296626.354"|"5050037.711"|"14"|"1612719"
"177333"|"20081022000000"|"Réel"|"2- Tige et manchon"|"296328.094"|"5049164.939"|"14"|"1611683"
"172810"|"20080827000000"|"Réel"|"3- Fût"|"299006.75"|"5050097"|"14"|"1612344"
"172805"|"20080827000000"|"Réel"|"2- Tige et manchon"|"298741.594"|"5049665.5"|"14"|"1612201"
"170280"|"20071220000000"|"Réel"|"2- Tige et manchon"|"296688"|"5048468.5"|"14"|"1611751"
"172803"|"20080827000000"|"Réel"|"3- Fût"|"298725.563"|"5049668"|"14"|"1612201"
"177332"|"20081022000000"|"Réel"|"2- Tige et manchon"|"296330.536"|"5049167.579"|"14"|"1611718"
"167928"|"20071203000000"|"Réel"|"2- Tige et manchon"|"299213.97"|"5050660.5"|"14"|"4008982"
"177331"|"20081022000000"|"Réel"|"3- Fût"|"296348.927"|"5049196.409"|"14"|"1611718"
"177330"|"20081022000000"|"Réel"|"3- Fût"|"296342.127"|"5049236.411"|"14"|"1611718"
"167929"|"20071203000000"|"Réel"|"2- Tige et manchon"|"299231.22"|"5050688.5"|"14"|"4008982"
"177329"|"20081022000000"|"Réel"|"2- Tige et manchon"|"296337.409"|"5049238.886"|"14"|"1611718"
