"POTEAU_ID_POT"|"DATE_CONCEPTION_POT"|"DESCRIPTION_REP"|"DESCRIPTION_RTP"|"X"|"Y"|"ID_ARRONDISSEMENT"|"TRC_ID"
"220535"|"20120804000000"|"En conception"|"2- Tige et manchon"|"294515.25"|"5052520"|"16"|"1610745"
"220533"|"20120804000000"|"En conception"|"2- Tige et manchon"|"294528.594"|"5052557"|"16"|"1610745"
"220531"|"20120804000000"|"En conception"|"2- Tige et manchon"|"294555.313"|"5052622"|"16"|"1610745"
"226241"|"20130719000000"|"Réel"|"2- Tige et manchon"|"294007.083"|"5051991.48"|"16"|"1610637"
"226208"|"20130719000000"|"Réel"|"4- Poteau en bois"|"294003.969"|"5051945.5"|"16"|"1610637"
"226180"|"20130717000000"|"Réel"|"4- Poteau en bois"|"295456.082"|"5054326.925"|"16"|"4009501"
"227358"|"20131021000000"|"Réel"|"3- Fût"|"295358.151"|"5052685.79"|"16"|"1610994"
"220530"|"20120804000000"|"En conception"|"2- Tige et manchon"|"294561"|"5052634.5"|"16"|"1610745"
"220528"|"20120804000000"|"En conception"|"2- Tige et manchon"|"294587.844"|"5052702.5"|"16"|"1611138"
"220527"|"20120804000000"|"En conception"|"2- Tige et manchon"|"294613.719"|"5052761.5"|"16"|"1611138"
"226207"|"20130719000000"|"Réel"|"2- Tige et manchon"|"293989.531"|"5051949.5"|"16"|"1610637"
"220525"|"20120804000000"|"En conception"|"2- Tige et manchon"|"294619.813"|"5052778.5"|"16"|"1611138"
"220524"|"20120804000000"|"En conception"|"10- Fût et feux"|"294668.281"|"5052893"|"16"|"1611138"
"220601"|"20120526000000"|"Réel"|"2- Tige et manchon"|"294315.375"|"5051348.5"|"16"|"1610695"
"226242"|"20130719000000"|"Réel"|"3- Fût"|"293996.089"|"5052055.699"|"16"|"1610637"
"220596"|"20120526000000"|"Réel"|"10- Fût et feux"|"294579.719"|"5051477.5"|"16"|"1610652"
"220523"|"20120526000000"|"Réel"|"4- Poteau en bois"|"294646.25"|"5052926"|"16"|"1610966"
"226249"|"20130719000000"|"Réel"|"4- Poteau en bois"|"293970.25"|"5051809"|"16"|"1610607"
"220593"|"20120526000000"|"Réel"|"2- Tige et manchon"|"294701.188"|"5051533.5"|"16"|"1610905"
"228550"|"20140413000000"|"Réel"|"2- Tige et manchon"|"294190.479"|"5049947.945"|"16"|"1610336"
"228551"|"20140413000000"|"Réel"|"2- Tige et manchon"|"294156.326"|"5049995.349"|"16"|"1610375"
"226243"|"20130719000000"|"Réel"|"3- Fût"|"293994.535"|"5052034.319"|"16"|"1610637"
"228552"|"20140413000000"|"Réel"|"2- Tige et manchon"|"294238.152"|"5049885.715"|"16"|"1610338"
"10208"|""|"Réel"|"4- Poteau en bois"|"292902.542"|"5049209.621"|"16"|"1609999"
"10094"|"19990521000000"|"Réel"|"10- Fût et feux"|"293998.604"|"5048550.257"|"16"|"1624703"
"10092"|"19990521000000"|"Réel"|"3- Fût"|"294056.028"|"5048515.594"|"16"|"1624703"
"228553"|"20140413000000"|"Réel"|"2- Tige et manchon"|"294309.336"|"5049786.242"|"16"|"1610385"
"227359"|"20131021000000"|"Réel"|"2- Tige et manchon"|"295294.077"|"5052637.635"|"16"|"1610992"
"10091"|"19990521000000"|"Réel"|"3- Fût"|"294081.153"|"5048500.872"|"16"|"1624703"
"228554"|"20140413000000"|"Réel"|"2- Tige et manchon"|"294376.396"|"5049696.508"|"16"|"1610392"
"226251"|"20130719000000"|"Réel"|"4- Poteau en bois"|"293999.743"|"5051891.487"|"16"|"1610638"
"9892"|"19990521000000"|"Réel"|"10- Fût et feux"|"294142.413"|"5048476.88"|"16"|"1624703"
"220650"|"20140413000000"|"Réel"|"10- Fût et feux"|"294232.031"|"5049947"|"16"|"1610335"
"226248"|"20130719000000"|"Réel"|"4- Poteau en bois"|"293976.625"|"5051854"|"16"|"1610640"
"226253"|"20130719000000"|"Réel"|"1- Tige et base"|"293994.906"|"5051859"|"16"|"1610638"
"226255"|"20130719000000"|"Réel"|"1- Tige et base"|"293966.406"|"5051889"|"16"|"1610640"
"220590"|"20120526000000"|"Réel"|"4- Poteau en bois"|"294870.188"|"5051673"|"16"|"1610872"
"228555"|"20140413000000"|"Réel"|"2- Tige et manchon"|"294404.867"|"5049658.001"|"16"|"1610395"
"228556"|"20140413000000"|"Réel"|"2- Tige et manchon"|"294476.388"|"5049560.922"|"16"|"1610398"
"228557"|"20140413000000"|"Réel"|"2- Tige et manchon"|"294699.657"|"5049267.662"|"16"|"1625061"
"220632"|"20120527000000"|"Réel"|"4- Poteau en bois"|"294690.938"|"5049413"|"16"|"1610415"
"220653"|"20140413000000"|"Réel"|"10- Fût et feux"|"294160.594"|"5050040"|"16"|"1610373"
"220634"|"20120527000000"|"Réel"|"2- Tige et manchon"|"294598.668"|"5049518.095"|"16"|"1610403"
"220633"|"20120527000000"|"Réel"|"4- Poteau en bois"|"294593.063"|"5049457.5"|"16"|"1610408"
"228558"|"20140413000000"|"Réel"|"2- Tige et manchon"|"294586.085"|"5049411.66"|"16"|"1610414"
"226244"|"20130719000000"|"Réel"|"4- Poteau en bois"|"293992.123"|"5051995.542"|"16"|"1610637"
"220630"|"20120527000000"|"Réel"|"3- Fût"|"293584.906"|"5050466"|"16"|"1610175"
"220656"|"20140413000000"|"Réel"|"10- Fût et feux"|"294080.656"|"5050149"|"16"|"1610359"
"220683"|"20140413000000"|"Réel"|"2- Tige et manchon"|"294710.438"|"5049299"|"16"|"4009224"
"226245"|"20130719000000"|"Réel"|"4- Poteau en bois"|"293990.39"|"5051967.685"|"16"|"1610637"
"220659"|"20140413000000"|"Réel"|"10- Fût et feux"|"293990.188"|"5050271"|"16"|"1610356"
"220660"|"20140413000000"|"Réel"|"10- Fût et feux"|"293936.875"|"5050344.5"|"16"|"1610499"
"226246"|"20130719000000"|"Réel"|"4- Poteau en bois"|"293984.359"|"5051917.501"|"16"|"1610638"
"226247"|"20130719000000"|"Réel"|"4- Poteau en bois"|"293980.829"|"5051889.532"|"16"|"1610638"
"220581"|"20120526000000"|"Réel"|"3- Fût"|"295547.783"|"5051940.691"|"16"|"1611098"
"220631"|"20140413000000"|"Réel"|"10- Fût et feux"|"294663.063"|"5049365.5"|"16"|"1610410"
"220584"|"20120526000000"|"Réel"|"3- Fût"|"295364.25"|"5051851"|"16"|"1611050"
"220567"|"20120526000000"|"Enlevé"|"10- Fût et feux"|"294112.455"|"5051526.85"|"16"|"1610600"
"220466"|"20120522000000"|"Enlevé"|"3- Fût"|"294705.094"|"5052981.804"|"16"|"1610969"
"220610"|"20120526000000"|"Réel"|"4- Poteau en bois"|"293842.813"|"5051000.5"|"16"|"1610243"
"220566"|"20120526000000"|"Réel"|"10- Fût et feux"|"294115.447"|"5051534.1"|"16"|"1610601"
"220467"|"20120522000000"|"Enlevé"|"3- Fût"|"294559.899"|"5052636.053"|"16"|"1610745"
"220606"|"20120526000000"|"Réel"|"2- Tige et manchon"|"294052.875"|"5051221"|"16"|"1610544"
"79265"|""|"Réel"|"10- Fût et feux"|"293982.717"|"5048559.318"|"16"|"1624704"
"220522"|"20120526000000"|"Réel"|"2- Tige et manchon"|"294704.625"|"5052983.158"|"16"|"1610969"
"226254"|"20130723000000"|"Réel"|"4- Poteau en bois"|"294000.125"|"5051826.5"|"16"|"1610606"
"220539"|"20120526000000"|"Réel"|"2- Tige et manchon"|"294404.073"|"5052297.932"|"16"|"1610837"
"226319"|"20130723000000"|"Réel"|"1- Tige et base"|"293990.219"|"5052072.5"|"16"|"1610911"
