"POTEAU_ID_POT"|"DATE_CONCEPTION_POT"|"DESCRIPTION_REP"|"DESCRIPTION_RTP"|"X"|"Y"|"ID_ARRONDISSEMENT"|"TRC_ID"
"181265"|"20110201000000"|"Réel"|"2- Tige et manchon"|"300815.531"|"5042213"|"19"|"1381414"
"187222"|"20110204000000"|"Réel"|"10- Fût et feux"|"298850.25"|"5039972.5"|"19"|"4008355"
"214299"|"20110204000000"|"Réel"|"3- Fût"|"298827.188"|"5039940"|"19"|"1260418"
"11850"|"20090625000000"|"Réel"|"1- Tige et base"|"299885.875"|"5041200.5"|"19"|"1380068"
"215905"|"20110204000000"|"Enlevé"|"3- Fût"|"298614.5"|"5039540.5"|"19"|"1260440"
"27145"|"20110204000000"|"Réel"|"2- Tige et manchon"|"300213.219"|"5042951.5"|"19"|"1390046"
"27158"|"20110204000000"|"Réel"|"2- Tige et manchon"|"300366.781"|"5042860.5"|"19"|"1390045"
"30162"|"20110204000000"|"Réel"|"3- Fût"|"300559.469"|"5043497.5"|"19"|"1624676"
"75385"|"20110204000000"|"Réel"|"10- Fût et feux"|"298591.969"|"5040372.5"|"19"|"1260553"
"101918"|"20110204000000"|"Réel"|"2- Tige et manchon"|"300256.575"|"5041257.878"|"19"|"1380852"
"91242"|"20110207000000"|"Réel"|"2- Tige et manchon"|"299708.906"|"5039836.5"|"19"|"4007302"
"174985"|"20110207000000"|"Réel"|"2- Tige et manchon"|"299727.375"|"5039856"|"19"|"4008410"
"75053"|"20110207000000"|"Réel"|"3- Fût"|"298112.656"|"5040013"|"19"|"1625075"
"45174"|"20010110000000"|"Enlevé"|"4- Poteau en bois"|"300691.1"|"5041316.719"|"19"|"1380075"
"167151"|"20090623000000"|"Enlevé"|"2- Tige et manchon"|"299972.5"|"5042591.5"|"19"|"1380679"
"44986"|"19990812000000"|"Enlevé"|"2- Tige et manchon"|"299819.599"|"5041841.869"|"19"|"1380085"
"44983"|"19990812000000"|"Enlevé"|"2- Tige et manchon"|"299777.095"|"5041868.902"|"19"|"1380085"
"44980"|"19990812000000"|"Enlevé"|"2- Tige et manchon"|"299749.5"|"5041889.5"|"19"|"1380085"
"34732"|"20110208000000"|"Enlevé"|"2- Tige et manchon"|"299494.875"|"5040750.5"|"19"|"1260068"
"39683"|"20110208000000"|"Réel"|"10- Fût et feux"|"299968.938"|"5040448"|"19"|"1260062"
"93651"|"20110208000000"|"Réel"|"10- Fût et feux"|"299962.25"|"5040436.5"|"19"|"1260062"
"58235"|"20110208000000"|"Réel"|"2- Tige et manchon"|"298548.406"|"5039362.5"|"19"|"1260853"
"55379"|"20110208000000"|"Réel"|"3- Fût"|"298433.719"|"5038845.5"|"19"|"1260924"
"100525"|"20110208000000"|"Réel"|"3- Fût"|"298396.438"|"5038857.5"|"19"|"1260924"
"56277"|"20110208000000"|"Réel"|"2- Tige et manchon"|"298370.625"|"5038875.5"|"19"|"1260924"
"176075"|"20110208000000"|"Réel"|"2- Tige et manchon"|"298585.938"|"5038888.5"|"19"|"1260715"
"55569"|"20110208000000"|"Réel"|"10- Fût et feux"|"298441.375"|"5039108"|"19"|"1260267"
"34408"|"20110209000000"|"Réel"|"2- Tige et manchon"|"300830.031"|"5041099"|"19"|"1380269"
"215925"|"20110209000000"|"Enlevé"|"2- Tige et manchon"|"300449.75"|"5040534"|"19"|"1380134"
"91448"|"20110209000000"|"Réel"|"2- Tige et manchon"|"298312.219"|"5039586.5"|"19"|"1260858"
"26968"|"20110209000000"|"Réel"|"1- Tige et base"|"300993.75"|"5042431.5"|"19"|"1390038"
"143033"|"20110209000000"|"Réel"|"2- Tige et manchon"|"300013.375"|"5041837"|"19"|"1381068"
"92930"|"20090623000000"|"Réel"|"1- Tige et base"|"297822.031"|"5039406.5"|"19"|"1260863"
"74899"|"20110209000000"|"Réel"|"2- Tige et manchon"|"300938.219"|"5042391.5"|"19"|"1381608"
"117060"|"20110209000000"|"Réel"|"3- Fût"|"300150.719"|"5041936.5"|"19"|"1380444"
"57494"|"20110209000000"|"Réel"|"2- Tige et manchon"|"298812.344"|"5039994.5"|"19"|"1260244"
"91812"|"20110210000000"|"Réel"|"10- Fût et feux"|"299334.969"|"5039956"|"19"|"4008721"
"32662"|"20090623000000"|"Enlevé"|"2- Tige et manchon"|"300704.313"|"5043241.5"|"19"|"1390232"
"182305"|"20090623000000"|"Réel"|"1- Tige et base"|"300699.654"|"5043243.056"|"19"|"1390232"
"88668"|"20090623000000"|"Réel"|"10- Fût et feux"|"299760"|"5039669.5"|"19"|"1370096"
"133012"|"20110210000000"|"Réel"|"3- Fût"|"300583.625"|"5040288.5"|"19"|"1380275"
"14763"|"20110210000000"|"Réel"|"3- Fût"|"299848"|"5041693"|"19"|"4008499"
"121925"|"20110211000000"|"Réel"|"1- Tige et base"|"299637.313"|"5039075"|"19"|"1370781"
"12249"|"20090622000000"|"Réel"|"1- Tige et base"|"300545.594"|"5041672.5"|"19"|"1380945"
"55063"|"20110215000000"|"Réel"|"3- Fût"|"297688.594"|"5039057"|"19"|"1260080"
"54715"|"20110215000000"|"Réel"|"1- Tige et base"|"297828.094"|"5039028.5"|"19"|"1260045"
"54710"|"20110215000000"|"Réel"|"1- Tige et base"|"297857.563"|"5039069"|"19"|"1260045"
"162397"|"20110215000000"|"Réel"|"2- Tige et manchon"|"299993.031"|"5042256"|"19"|"1381362"
"4345"|"20110215000000"|"Réel"|"10- Fût et feux"|"300143.469"|"5044337"|"19"|"1390641"
"65834"|"20110215000000"|"Réel"|"3- Fût"|"300362.969"|"5044267"|"19"|"1390286"
"140380"|"20110215000000"|"Réel"|"1- Tige et base"|"300340.063"|"5044215.5"|"19"|"1390285"
"172361"|"20110217000000"|"Réel"|"2- Tige et manchon"|"300116.656"|"5043405"|"19"|"1390601"
"148568"|"20110217000000"|"Réel"|"2- Tige et manchon"|"300087.031"|"5043360"|"19"|"1390600"
"156489"|"20110217000000"|"Réel"|"2- Tige et manchon"|"300043.344"|"5043304"|"19"|"1390383"
"25582"|"20110217000000"|"Réel"|"3- Fût"|"299914.719"|"5043552"|"19"|"1390630"
"14811"|"20110217000000"|"Réel"|"3- Fût"|"299730.313"|"5041752.5"|"19"|"4008499"
"215938"|"20110218000000"|"Archive"|"2- Tige et manchon"|"299991.717"|"5041184.341"|"19"|"1380140"
"24145"|"20110218000000"|"Archive"|"2- Tige et manchon"|"299908.5"|"5041240.5"|"19"|"1380140"
"93622"|"20110218000000"|"Réel"|"2- Tige et manchon"|"299651.844"|"5040645"|"19"|"1260066"
