"POTEAU_ID_POT"|"DATE_CONCEPTION_POT"|"DESCRIPTION_REP"|"DESCRIPTION_RTP"|"X"|"Y"|"ID_ARRONDISSEMENT"|"TRC_ID"
"226984"|"20130918000000"|"Réel"|"2- Tige et manchon"|"297984.938"|"5037877.5"|"20"|"1600681"
"158434"|"20130918000000"|"Réel"|"1- Tige et base"|"300630"|"5037617.5"|"20"|"1600462"
"89742"|"20000717000000"|"Réel"|"8- Pilier"|"300452.748"|"5039534.637"|"20"|"4007668"
"89743"|"20000717000000"|"Réel"|"2- Tige et manchon"|"300453.086"|"5039536.977"|"20"|"4007668"
"89808"|"20000717000000"|"Réel"|"3- Fût"|"300139.37"|"5038473.264"|"20"|"1370459"
"89823"|""|"Réel"|"4- Poteau en bois"|"300106.43"|"5037966.656"|"20"|"1370985"
"89831"|""|"Archive"|"1- Tige et base"|"300029.783"|"5038026.081"|"20"|"1370986"
"89857"|"20000717000000"|"Réel"|"10- Fût et feux"|"299423.292"|"5038642.831"|"20"|"1370966"
"89863"|"20000717000000"|"Réel"|"4- Poteau en bois"|"299502.649"|"5038574.964"|"20"|"1370965"
"89864"|"20000717000000"|"Réel"|"11- Pot. bois/feux"|"299523.46"|"5038559.463"|"20"|"1370965"
"89868"|"20000717000000"|"Réel"|"10- Fût et feux"|"299537.813"|"5038549.5"|"20"|"1370964"
"89869"|"20000717000000"|"Réel"|"4- Poteau en bois"|"299538.688"|"5038550.5"|"20"|"1370964"
"89870"|""|"Réel"|"11- Pot. bois/feux"|"299543.938"|"5038564.5"|"20"|"1371252"
"89871"|""|"Enlevé"|"9- Autres"|"299546.167"|"5038560.293"|"20"|"1370964"
"89873"|"20000717000000"|"Réel"|"2- Tige et manchon"|"299564.198"|"5038549.082"|"20"|"1370964"
"89874"|""|"Enlevé"|"2- Tige et manchon"|"299566.31"|"5038547.582"|"20"|"1370964"
"89880"|"20000717000000"|"Réel"|"4- Poteau en bois"|"299607.584"|"5038505.207"|"20"|"1370973"
"89885"|"20000717000000"|"Réel"|"4- Poteau en bois"|"299616.501"|"5038469.114"|"20"|"1370973"
"226954"|"20130918000000"|"Réel"|"1- Tige et base"|"298720.213"|"5037443.067"|"20"|"1360567"
"89894"|"20000717000000"|"Réel"|"4- Poteau en bois"|"299620.156"|"5038408"|"20"|"1370973"
"89896"|"20000717000000"|"Réel"|"9- Autres"|"299619.25"|"5038389.5"|"20"|"1370973"
"86716"|"20120507000000"|"Réel"|"2- Tige et manchon"|"298170.5"|"5038014"|"20"|"1360366"
"215317"|"20120507000000"|"Réel"|"2- Tige et manchon"|"298110.563"|"5037969"|"20"|"1360077"
"89897"|"20000717000000"|"Réel"|"9- Autres"|"299646.351"|"5038356.763"|"20"|"1370973"
"89899"|"20000717000000"|"Réel"|"1- Tige et base"|"299659.438"|"5038357"|"20"|"1625745"
"89905"|"20000717000000"|"Enlevé"|"1- Tige et base"|"299704.271"|"5038292.337"|"20"|"1625744"
"89908"|"20000717000000"|"Réel"|"10- Fût et feux"|"299719.621"|"5038273.625"|"20"|"1625744"
"89953"|"20000717000000"|"Réel"|"1- Tige et base"|"297001.091"|"5034263.258"|"20"|"1600301"
"89981"|"20000718000000"|"Réel"|"9- Autres"|"298468.623"|"5038461.503"|"20"|"4011410"
"89987"|"20000718000000"|"Réel"|"3- Fût"|"298472.22"|"5038428.92"|"20"|"1625633"
"89988"|"20000718000000"|"Réel"|"10- Fût et feux"|"298486.275"|"5038386.246"|"20"|"1601394"
"89991"|"20000718000000"|"Réel"|"10- Fût et feux"|"298510.656"|"5038407"|"20"|"1360623"
"226953"|"20130918000000"|"Réel"|"2- Tige et manchon"|"298708.621"|"5037432.982"|"20"|"1360567"
"90044"|"20000718000000"|"Réel"|"1- Tige et base"|"298690.247"|"5037929.242"|"20"|"1360027"
"70862"|""|"Enlevé"|"1- Tige et base"|"299213.834"|"5038090.217"|"20"|"1360184"
"70857"|"19991211000000"|"Réel"|"6- Base amovible"|"299152.063"|"5038189.977"|"20"|"1360609"
"70831"|"19991211000000"|"Réel"|"3- Fût"|"296494.297"|"5034133.755"|"20"|"4006601"
"70828"|"19991211000000"|"Réel"|"2- Tige et manchon"|"298413.335"|"5035148.513"|"20"|"1350509"
"164149"|"20120507000000"|"Réel"|"3- Fût"|"298071.656"|"5037907.5"|"20"|"1600413"
"185825"|"20120507000000"|"Réel"|"2- Tige et manchon"|"298126.375"|"5037972.5"|"20"|"1360077"
"187006"|"20120507000000"|"Réel"|"2- Tige et manchon"|"298223.531"|"5037907"|"20"|"1360077"
"86592"|"20130918000000"|"Réel"|"1- Tige et base"|"298718.063"|"5037432.5"|"20"|"1360567"
"226950"|"20130917000000"|"Réel"|"12- Balise"|"298764.579"|"5038185.112"|"20"|"1360648"
"226949"|"20130917000000"|"Réel"|"1- Tige et base"|"298810.625"|"5038152.845"|"20"|"1360099"
"226948"|"20130917000000"|"Réel"|"1- Tige et base"|"298780.415"|"5038189.09"|"20"|"1360648"
"90058"|"20000718000000"|"Réel"|"10- Fût et feux"|"298698.625"|"5037905"|"20"|"1360273"
"226947"|"20130917000000"|"Réel"|"12- Balise"|"298767.135"|"5038183.914"|"20"|"1360648"
"90061"|"20000718000000"|"Réel"|"3- Fût"|"298741.973"|"5037894.888"|"20"|"1360632"
"90067"|"20000718000000"|"Enlevé"|"3- Fût"|"298775.568"|"5037829.612"|"20"|"4006896"
"90078"|"20000718000000"|"Enlevé"|"1- Tige et base"|"298889.337"|"5037719.951"|"20"|"4006067"
"90080"|"20000718000000"|"Enlevé"|"3- Fût"|"298788.444"|"5037812.8"|"20"|"4006068"
"90081"|""|"Enlevé"|"2- Tige et manchon"|"298895.697"|"5037688.079"|"20"|"4006064"
"90088"|"20000718000000"|"Enlevé"|"3- Fût"|"299009.779"|"5037578.758"|"20"|"1371114"
"226946"|"20130917000000"|"Réel"|"2- Tige et manchon"|"298770.131"|"5038180.241"|"20"|"1360648"
"57332"|"20130917000000"|"Réel"|"3- Fût"|"298743.031"|"5038207"|"20"|"1360648"
"90105"|""|"Réel"|"3- Fût"|"299036.405"|"5037455.256"|"20"|"1370028"
"90109"|""|"Réel"|"3- Fût"|"299045.519"|"5037419.923"|"20"|"1370028"
"90135"|"20000718000000"|"Réel"|"9- Autres"|"299057.9"|"5037328.5"|"20"|"1371315"
"90138"|"20000718000000"|"Réel"|"3- Fût"|"299058.47"|"5037330.5"|"20"|"1371315"
"90139"|"20000718000000"|"Enlevé"|"3- Fût"|"299055.648"|"5037329.114"|"20"|"1371315"
"90149"|"20000718000000"|"Réel"|"1- Tige et base"|"299062.8"|"5037348.5"|"20"|"1371312"
"90153"|"20000718000000"|"Enlevé"|"3- Fût"|"299060.531"|"5037309.962"|"20"|"1371315"
"90156"|"20000718000000"|"Réel"|"1- Tige et base"|"299104.692"|"5037250.766"|"20"|"1371342"
"90158"|"20000718000000"|"Enlevé"|"9- Autres"|"299109.914"|"5037199.131"|"20"|"1624193"
"90159"|"20000718000000"|"Enlevé"|"2- Tige et manchon"|"299117.213"|"5037182.13"|"20"|"1624193"
