"POTEAU_ID_POT"|"DATE_CONCEPTION_POT"|"DESCRIPTION_REP"|"DESCRIPTION_RTP"|"X"|"Y"|"ID_ARRONDISSEMENT"|"TRC_ID"
"65938"|"20120619000000"|"Enlevé"|"1- Tige et base"|"300879.094"|"5045461.5"|"22"|"1401000"
"140616"|"20100907000000"|"Réel"|"1- Tige et base"|"300409.438"|"5049549"|"22"|"1430009"
"26634"|"20070323000000"|"Réel"|"3- Fût"|"300564.983"|"5046702.769"|"22"|"1625113"
"25864"|"20070323000000"|"Réel"|"3- Fût"|"300559.16"|"5046894.367"|"22"|"1420523"
"25882"|"20070323000000"|"Réel"|"3- Fût"|"300556.702"|"5047212.998"|"22"|"1420569"
"74835"|"20070323000000"|"Réel"|"3- Fût"|"300584.672"|"5046055.676"|"22"|"4010092"
"1838"|"20140708000000"|"Réel"|"3- Fût"|"301325.219"|"5048982"|"22"|"1420465"
"100817"|"20140708000000"|"Réel"|"1- Tige et base"|"301308.75"|"5046551.5"|"22"|"1420471"
"220988"|"20120619000000"|"Réel"|"3- Fût"|"301789.969"|"5049992.5"|"22"|"1441108"
"2835"|"20140708000000"|"Réel"|"2- Tige et manchon"|"301156.688"|"5046005"|"22"|"1420172"
"122716"|"20120619000000"|"Réel"|"10- Fût et feux"|"301781.75"|"5049997"|"22"|"1441108"
"220985"|"20120619000000"|"Réel"|"3- Fût"|"301858.031"|"5049958"|"22"|"1441108"
"68110"|"20140707000000"|"Réel"|"4- Poteau en bois"|"302932.563"|"5047883"|"22"|"1440500"
"68113"|"20140707000000"|"Réel"|"4- Poteau en bois"|"302988.469"|"5047855.5"|"22"|"1440500"
"68075"|"20140707000000"|"Réel"|"3- Fût"|"303085.313"|"5047876.5"|"22"|"1440173"
"68081"|"20140707000000"|"Réel"|"3- Fût"|"303002.875"|"5047943.5"|"22"|"1440173"
"68116"|"20140707000000"|"Réel"|"4- Poteau en bois"|"303041.875"|"5047830"|"22"|"1440500"
"68091"|"20140707000000"|"Réel"|"3- Fût"|"303109.031"|"5047877.5"|"22"|"1440173"
"68551"|"20140707000000"|"Réel"|"4- Poteau en bois"|"302856.313"|"5047866"|"22"|"1440453"
"68534"|"20140707000000"|"Réel"|"4- Poteau en bois"|"302823.875"|"5047796"|"22"|"1440452"
"68532"|"20140707000000"|"Réel"|"1- Tige et base"|"302810.594"|"5047802.5"|"22"|"1440452"
"68546"|"20140707000000"|"Réel"|"1- Tige et base"|"302880.844"|"5047956.5"|"22"|"1440454"
"229475"|"20140707000000"|"Réel"|"1- Tige et base"|"303694.437"|"5051568.357"|"22"|"1460063"
"229474"|"20140707000000"|"Réel"|"1- Tige et base"|"303689.231"|"5051570.865"|"22"|"1460063"
"229473"|"20140707000000"|"Réel"|"1- Tige et base"|"300666.727"|"5048774.207"|"22"|"1430060"
"229472"|"20140707000000"|"Réel"|"1- Tige et base"|"300660.52"|"5048777.197"|"22"|"1430060"
"218040"|"20140707000000"|"Enlevé"|"1- Tige et base"|"303695.875"|"5049791.5"|"22"|"1440636"
"218039"|"20140707000000"|"Réel"|"4- Poteau en bois"|"303690.719"|"5049794.5"|"22"|"1440636"
"107527"|"20100908000000"|"Réel"|"3- Fût"|"301392.656"|"5052493.5"|"22"|"1460262"
"18982"|"20140707000000"|"Réel"|"4- Poteau en bois"|"300920.531"|"5048590.5"|"22"|"1430044"
"18988"|"20140707000000"|"Réel"|"4- Poteau en bois"|"300989.219"|"5048558"|"22"|"1430044"
"1778"|"20140707000000"|"Réel"|"4- Poteau en bois"|"301053.469"|"5048527.5"|"22"|"1430044"
"1780"|"20140707000000"|"Réel"|"4- Poteau en bois"|"301090.313"|"5048511.5"|"22"|"1430044"
"18971"|"20140707000000"|"Réel"|"1- Tige et base"|"301069.594"|"5048505"|"22"|"1430044"
"150727"|"20140707000000"|"Réel"|"4- Poteau en bois"|"301008.625"|"5048533.5"|"22"|"1430044"
"18968"|"20140707000000"|"Réel"|"1- Tige et base"|"300984.906"|"5048546.5"|"22"|"1430044"
"18965"|"20140707000000"|"Réel"|"1- Tige et base"|"300968.188"|"5048555"|"22"|"1430044"
"1757"|"20140707000000"|"Réel"|"1- Tige et base"|"300940.344"|"5048566"|"22"|"1430044"
"1756"|"20140707000000"|"Réel"|"1- Tige et base"|"300931.938"|"5048570"|"22"|"1430044"
"150726"|"20140707000000"|"Réel"|"1- Tige et base"|"300900.969"|"5048585"|"22"|"1430044"
"157424"|"20140707000000"|"Réel"|"1- Tige et base"|"300911.563"|"5048467.5"|"22"|"1430274"
"31487"|"20140707000000"|"Réel"|"1- Tige et base"|"300949.031"|"5048450"|"22"|"1430274"
"2011"|"20041025000000"|"Enlevé"|"1- Tige et base"|"300924.569"|"5048461.659"|"22"|"1430274"
"2014"|"20140707000000"|"Réel"|"1- Tige et base"|"301005.094"|"5048423"|"22"|"1430274"
"220983"|"20120619000000"|"Réel"|"3- Fût"|"302005.375"|"5049882"|"22"|"4006571"
"2015"|"20140707000000"|"Réel"|"1- Tige et base"|"301042.906"|"5048405"|"22"|"1430274"
"20226"|"20140707000000"|"Réel"|"1- Tige et base"|"300974.875"|"5048421.5"|"22"|"1430274"
"20231"|"20140707000000"|"Réel"|"1- Tige et base"|"300948.406"|"5048434.5"|"22"|"1430274"
"2010"|"20140707000000"|"Réel"|"4- Poteau en bois"|"300912.094"|"5048450.5"|"22"|"1430274"
"2009"|"20140707000000"|"Réel"|"4- Poteau en bois"|"300878.844"|"5048466.5"|"22"|"1430274"
"2971"|"20070326000000"|"Réel"|"3- Fût"|"301127.947"|"5046770.585"|"22"|"1420562"
"954"|"20041101000000"|"Réel"|"10- Fût et feux"|"301044.406"|"5045832"|"22"|"1420368"
"15795"|"20070326000000"|"Réel"|"3- Fût"|"301098.064"|"5046702.659"|"22"|"1420402"
"220981"|"20120619000000"|"Réel"|"3- Fût"|"301902.563"|"5049937"|"22"|"1441108"
"178444"|"20120619000000"|"Réel"|"1- Tige et base"|"301599.219"|"5049478"|"22"|"1440013"
"171944"|"20120619000000"|"Réel"|"1- Tige et base"|"301594.594"|"5049480.5"|"22"|"1440013"
"220980"|"20120619000000"|"Réel"|"1- Tige et base"|"301591.39"|"5049465.822"|"22"|"1440013"
"216027"|"20120619000000"|"Réel"|"1- Tige et base"|"301586.344"|"5049468"|"22"|"1440013"
"175996"|"20080929000000"|"Réel"|"4- Poteau en bois"|"301967.086"|"5045125.298"|"22"|"1410085"
"175997"|"20080929000000"|"Réel"|"3- Fût"|"301972.693"|"5045147.733"|"22"|"1410085"
"175998"|"20080929000000"|"Réel"|"4- Poteau en bois"|"301985.35"|"5045164.807"|"22"|"1410463"
"175999"|"20080929000000"|"Réel"|"4- Poteau en bois"|"301936.921"|"5045068.054"|"22"|"1410568"
"143383"|"20120619000000"|"Enlevé"|"1- Tige et base"|"301924.031"|"5049976.5"|"22"|"1441524"
"143387"|"20120619000000"|"Enlevé"|"1- Tige et base"|"301944.938"|"5050025"|"22"|"1441524"
"118066"|"20120619000000"|"Enlevé"|"2- Tige et manchon"|"301988.25"|"5050114"|"22"|"4005120"
"67907"|"20140704000000"|"Réel"|"3- Fût"|"303862.906"|"5051812"|"22"|"1460222"
"21125"|"20140704000000"|"Réel"|"2- Tige et manchon"|"303836.781"|"5051590"|"22"|"1460248"
"118065"|"20120619000000"|"Enlevé"|"2- Tige et manchon"|"301969.688"|"5050075"|"22"|"1441524"
"15615"|"20070326000000"|"Réel"|"3- Fût"|"300931.241"|"5046341.364"|"22"|"1420558"
"3929"|"20080929000000"|"Réel"|"10- Fût et feux"|"301908.938"|"5045139"|"22"|"1410086"
"176000"|"20080929000000"|"Réel"|"10- Fût et feux"|"301746.656"|"5045220.5"|"22"|"1400015"
"150633"|"20080929000000"|"Réel"|"10- Fût et feux"|"301732.75"|"5045204"|"22"|"1400047"
"3909"|"20080929000000"|"Réel"|"4- Poteau en bois"|"301729.875"|"5045205"|"22"|"1400047"
"176001"|"20080929000000"|"Réel"|"4- Poteau en bois"|"301511.444"|"5045304.725"|"22"|"1400048"
"176002"|"20080929000000"|"Réel"|"4- Poteau en bois"|"301499.61"|"5045338.938"|"22"|"1400048"
