"POTEAU_ID_POT"|"DATE_CONCEPTION_POT"|"DESCRIPTION_REP"|"DESCRIPTION_RTP"|"X"|"Y"|"ID_ARRONDISSEMENT"|"TRC_ID"
"187804"|"20100322000000"|"Réel"|"3- Fût"|"292024.25"|"5033584.34"|"27"|"1605372"
"190634"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"289220.34"|"5036114.69"|"27"|"1605505"
"187805"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"290610.27"|"5033330.51"|"27"|"1605343"
"190114"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"288765.61"|"5033110.01"|"27"|"1604594"
"187866"|"20100322000000"|"Réel"|"4- Poteau en bois"|"290265.46"|"5032818.01"|"27"|"1605111"
"187806"|"20100322000000"|"Réel"|"4- Poteau en bois"|"290620.73"|"5033340.96"|"27"|"1605343"
"187867"|"20100322000000"|"Réel"|"4- Poteau en bois"|"290264.15"|"5032842.58"|"27"|"1605111"
"190633"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"289229.22"|"5036159.39"|"27"|"1605505"
"187868"|"20100322000000"|"Réel"|"4- Poteau en bois"|"290305.2"|"5032785.86"|"27"|"1605113"
"187869"|"20100322000000"|"Réel"|"4- Poteau en bois"|"290305.46"|"5032796.84"|"27"|"1605113"
"187870"|"20100322000000"|"Réel"|"4- Poteau en bois"|"290303.36"|"5032828.99"|"27"|"1605113"
"187871"|"20100322000000"|"Réel"|"2- Tige et manchon"|"290021.82"|"5032724.16"|"27"|"1605060"
"187872"|"20100322000000"|"Réel"|"2- Tige et manchon"|"290018.95"|"5032754.22"|"27"|"1605060"
"187873"|"20100322000000"|"Réel"|"4- Poteau en bois"|"290010.58"|"5032753.17"|"27"|"1605060"
"187874"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"289717.67"|"5032672.66"|"27"|"1605047"
"187875"|"20100322000000"|"Réel"|"13- Poteau en acier"|"289704.73"|"5032625.74"|"27"|"1605047"
"187876"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"289703.42"|"5032641.68"|"27"|"1605047"
"187877"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"289701.86"|"5032654.75"|"27"|"1605047"
"187878"|"20100322000000"|"Réel"|"13- Poteau en acier"|"289700.42"|"5032661.16"|"27"|"1605047"
"188526"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"290782.93"|"5032871.85"|"27"|"1605156"
"190632"|"20100322000000"|"Réel"|"3- Fût"|"289256.93"|"5036366.94"|"27"|"1605508"
"188527"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"290781.88"|"5032861.14"|"27"|"1605156"
"187807"|"20100322000000"|"Réel"|"3- Fût"|"290610.27"|"5033297.83"|"27"|"1605343"
"190631"|"20100322000000"|"Réel"|"2- Tige et manchon"|"289145.31"|"5036470.21"|"27"|"1605511"
"192346"|"20100322000000"|"Réel"|"3- Fût"|"291022.51"|"5033469.19"|"27"|"1605299"
"192347"|"20100322000000"|"Réel"|"9- Autres"|"293324.52"|"5034076.71"|"27"|"1605960"
"190453"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"293366.25"|"5033935.86"|"27"|"1605959"
"191998"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"290038.95"|"5033095.96"|"27"|"1605074"
"190630"|"20100322000000"|"Réel"|"2- Tige et manchon"|"289049.11"|"5036560.66"|"27"|"1605511"
"190629"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"289065.84"|"5036550.99"|"27"|"1605511"
"190628"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"289051.72"|"5036564.31"|"27"|"1605511"
"190627"|"20100322000000"|"Réel"|"13- Poteau en acier"|"289005.71"|"5036604.57"|"27"|"1605511"
"191999"|"20100322000000"|"Réel"|"13- Poteau en acier"|"290720.71"|"5033563.49"|"27"|"4000463"
"190265"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"291672.65"|"5034171.21"|"27"|"1605408"
"190626"|"20100322000000"|"Réel"|"2- Tige et manchon"|"288833.7"|"5036461.84"|"27"|"1605512"
"188395"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"289754.14"|"5033507.87"|"27"|"4000472"
"190702"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"290839.15"|"5034357.68"|"27"|"1605453"
"188275"|"20100322000000"|"Réel"|"13- Poteau en acier"|"287708.1"|"5033898.8"|"27"|"1604692"
"190701"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"290833.5"|"5034423.24"|"27"|"4006850"
"187808"|"20100322000000"|"Réel"|"4- Poteau en bois"|"290625.16"|"5033185.68"|"27"|"1605343"
"187809"|"20100322000000"|"Réel"|"4- Poteau en bois"|"290622.55"|"5033219.41"|"27"|"1605343"
"187810"|"20100322000000"|"Réel"|"4- Poteau en bois"|"290624.38"|"5033151.18"|"27"|"1605343"
"187811"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"290611.57"|"5033135.49"|"27"|"1605343"
"188276"|"20100322000000"|"Réel"|"3- Fût"|"287708.83"|"5033915.62"|"27"|"1604719"
"187879"|"20100322000000"|"Réel"|"13- Poteau en acier"|"289685.38"|"5032659.98"|"27"|"1605047"
"187812"|"20100322000000"|"Réel"|"4- Poteau en bois"|"290620.46"|"5033255.74"|"27"|"1605343"
"187813"|"20100322000000"|"Réel"|"3- Fût"|"290533.54"|"5033335.08"|"27"|"1605344"
"187814"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"290532.89"|"5033328.68"|"27"|"1605344"
"190700"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"290764.8"|"5034426.06"|"27"|"4006850"
"188086"|"20100322000000"|"Réel"|"3- Fût"|"293238.45"|"5034175.2"|"27"|"1606829"
"190571"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"288824.42"|"5035534.74"|"27"|""
"188277"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"291280.89"|"5033059.07"|"27"|"1605213"
"188278"|"20100322000000"|"Réel"|"3- Fût"|"291306.12"|"5033082.1"|"27"|"1605263"
"187880"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"289653.1"|"5032657.75"|"27"|"1605051"
"187881"|"20100322000000"|"Réel"|"9- Autres"|"289643.3"|"5032653.44"|"27"|"1605051"
"190625"|"20100322000000"|"Réel"|"3- Fût"|"288836.32"|"5036457.66"|"27"|"1605512"
"188087"|"20100322000000"|"Réel"|"13- Poteau en acier"|"293232.43"|"5034164.22"|"27"|"1606829"
"188088"|"20100322000000"|"Réel"|"4- Poteau en bois"|"293203.15"|"5034187.35"|"27"|"1606829"
"187639"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"288379.37"|"5033524.41"|"27"|"1604616"
"188089"|"20100322000000"|"Réel"|"13- Poteau en acier"|"293187.47"|"5034180.29"|"27"|"1606829"
"190266"|"20100322000000"|"Réel"|"2- Tige et manchon"|"291601.28"|"5034174.09"|"27"|"1605408"
"187882"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"289078.65"|"5032931.33"|"27"|"1604800"
"190132"|"20100322000000"|"Réel"|"4- Poteau en bois"|"290208.34"|"5033453.37"|"27"|"1605102"
"188279"|"20100322000000"|"Réel"|"3- Fût"|"291282.36"|"5033111.35"|"27"|"1605263"
"190267"|"20100322000000"|"Réel"|"2- Tige et manchon"|"291603.64"|"5034163.63"|"27"|"1605408"
"187815"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"290533.15"|"5033300.44"|"27"|"1605344"
"188280"|"20100322000000"|"Réel"|"2- Tige et manchon"|"291311.24"|"5033183.37"|"27"|"1605263"
"190570"|"20100322000000"|"Réel"|"13- Poteau en acier"|"288802.47"|"5035554.61"|"27"|""
"190268"|"20100322000000"|"Réel"|"4- Poteau en bois"|"291684.15"|"5034159.97"|"27"|"1605408"
"188281"|"20100322000000"|"Réel"|"2- Tige et manchon"|"291311.24"|"5033168.74"|"27"|"1605263"
"187640"|"20100322000000"|"Réel"|"2- Tige et manchon"|"288350.09"|"5033528.07"|"27"|"1604617"
"190049"|"20100322000000"|"Réel"|"13- Poteau en acier"|"291545.73"|"5033041.65"|"27"|"1605259"
"190050"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"291561.41"|"5033068.05"|"27"|"1605259"
"188282"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"291310.5"|"5033197.99"|"27"|"1605263"
"190051"|"20100322000000"|"Réel"|"4- Poteau en bois"|"291546.25"|"5033073.28"|"27"|"1605259"
"188283"|"20100322000000"|"Réel"|"14- Poteau en barre métallique"|"291310.5"|"5033191.04"|"27"|"1605263"
"190052"|"20100322000000"|"Réel"|"4- Poteau en bois"|"291486.13"|"5033057.85"|"27"|"1605219"
"190053"|"20100322000000"|"Réel"|"4- Poteau en bois"|"291486.39"|"5033039.29"|"27"|"1605219"
