"POTEAU_ID_POT"|"DATE_CONCEPTION_POT"|"DESCRIPTION_REP"|"DESCRIPTION_RTP"|"X"|"Y"|"ID_ARRONDISSEMENT"|"TRC_ID"
"52004"|"20111020000000"|"Réel"|"4- Poteau en bois"|"296529.28"|"5055270"|"33"|"1480295"
"136217"|"20010717000000"|"Réel"|"4- Poteau en bois"|"304030.358"|"5057654.756"|"33"|"1500013"
"136214"|"20010717000000"|"Réel"|"3- Fût"|"304053.956"|"5057691.22"|"33"|"1500013"
"109444"|"20120730000000"|"Réel"|"1- Tige et base"|"297981.656"|"5056502.5"|"33"|"4005143"
"109441"|"20120730000000"|"Réel"|"3- Fût"|"297953"|"5056458"|"33"|"1622506"
"139136"|"20010726000000"|"Réel"|"3- Fût"|"298761.661"|"5055289.738"|"33"|"1470001"
"139142"|"20010726000000"|"Réel"|"1- Tige et base"|"303930.553"|"5057741.114"|"33"|"1500918"
"139151"|"20010726000000"|"Réel"|"3- Fût"|"298860.699"|"5055374.456"|"33"|"1470002"
"139153"|"20010726000000"|"Réel"|"3- Fût"|"303940.344"|"5057739.624"|"33"|"1500918"
"139158"|"20010726000000"|"Réel"|"3- Fût"|"303952.139"|"5057839.074"|"33"|"1500918"
"139161"|"20010726000000"|"Réel"|"3- Fût"|"303958.309"|"5057819.392"|"33"|"1500918"
"230503"|"20141014000000"|"En conception"|"1- Tige et base"|"298480.323"|"5054490.943"|"33"|"1608170"
"230502"|"20141014000000"|"En conception"|"1- Tige et base"|"298449.37"|"5054476.312"|"33"|"1625356"
"230501"|"20141014000000"|"En conception"|"1- Tige et base"|"298368.404"|"5054518.432"|"33"|"4008685"
"230500"|"20141014000000"|"En conception"|"1- Tige et base"|"298383.54"|"5054471.891"|"33"|"1470705"
"139164"|"20010726000000"|"Réel"|"1- Tige et base"|"303962.829"|"5057839.024"|"33"|"1500918"
"139167"|"20010726000000"|"Réel"|"3- Fût"|"299213.933"|"5055632.951"|"33"|"1480007"
"139175"|"20010726000000"|"Réel"|"3- Fût"|"300749.448"|"5057868.587"|"33"|"1608660"
"139185"|"20010726000000"|"Réel"|"3- Fût"|"299247.438"|"5055659.143"|"33"|"1622514"
"139201"|"20010726000000"|"Réel"|"3- Fût"|"299509.173"|"5055768.844"|"33"|"4010345"
"139204"|"20010726000000"|"Réel"|"3- Fût"|"299493.313"|"5055798.5"|"33"|"1481566"
"139234"|"20010726000000"|"Enlevé"|"3- Fût"|"304649.839"|"5057612.962"|"33"|"1500001"
"139245"|"20010726000000"|"Réel"|"3- Fût"|"304679.031"|"5057684.5"|"33"|"1500001"
"109448"|"20120730000000"|"Réel"|"1- Tige et base"|"297984.031"|"5056485.5"|"33"|"4005144"
"162564"|"20060821000000"|"Réel"|"1- Tige et base"|"296620.88"|"5054715"|"33"|"1470574"
"136197"|"20010717000000"|"Réel"|"1- Tige et base"|"304209.107"|"5058344.313"|"33"|"1500015"
"135561"|"20101025000000"|"Réel"|"3- Fût"|"303621.938"|"5057792.5"|"33"|"1500837"
"139247"|"20010726000000"|"Réel"|"3- Fût"|"304661.969"|"5057611"|"33"|"1500001"
"139254"|""|"Réel"|"1- Tige et base"|"303967.629"|"5056597.474"|"33"|"1624454"
