"POTEAU_ID_POT"|"DATE_CONCEPTION_POT"|"DESCRIPTION_REP"|"DESCRIPTION_RTP"|"X"|"Y"|"ID_ARRONDISSEMENT"|"TRC_ID"
"93007"|"20120731000000"|"Réel"|"3- Fût"|"295426.719"|"5036939.5"|"34"|"1310267"
"92988"|"20120731000000"|"Réel"|"3- Fût"|"295509.031"|"5037068.5"|"34"|"1310265"
"88248"|"20080110000000"|"Réel"|"3- Fût"|"295645.125"|"5035977.553"|"34"|"1330539"
"123300"|"20080110000000"|"Réel"|"3- Fût"|"295414.098"|"5036159.361"|"34"|"1330312"
"113792"|"20141015000000"|"En conception"|"1- Tige et base"|"294156.281"|"5038050"|"34"|"1300302"
"92924"|"20120731000000"|"Réel"|"2- Tige et manchon"|"295936.469"|"5037705.5"|"34"|"1330374"
"187037"|"20091215000000"|"Réel"|"3- Fût"|"294739.099"|"5039269.933"|"34"|"1270204"
"46328"|"20080111000000"|"Réel"|"10- Fût et feux"|"293922.414"|"5037118.873"|"34"|"1310140"
"90894"|"20080111000000"|"Réel"|"4- Poteau en bois"|"293923.148"|"5037090.831"|"34"|"1310141"
"181865"|"20141015000000"|"En conception"|"1- Tige et base"|"295039.031"|"5040800"|"34"|"1280028"
"181864"|"20141015000000"|"En conception"|"1- Tige et base"|"295038.406"|"5040797.5"|"34"|"1280028"
"133703"|"20080111000000"|"Réel"|"3- Fût"|"293692.319"|"5037236.615"|"34"|"1310092"
"133698"|"20080111000000"|"Réel"|"3- Fût"|"293639.942"|"5037191.12"|"34"|"1310203"
"85539"|"20080111000000"|"Réel"|"4- Poteau en bois"|"294118.881"|"5036873.52"|"34"|"1310201"
"166904"|"20120731000000"|"Réel"|"2- Tige et manchon"|"295980.875"|"5037755"|"34"|"4009514"
"85513"|"20080111000000"|"Réel"|"4- Poteau en bois"|"294443.988"|"5036665.29"|"34"|"1310364"
"85476"|"20080111000000"|"Réel"|"4- Poteau en bois"|"294896.219"|"5036387.613"|"34"|"1310196"
"85456"|"20080111000000"|"Réel"|"1- Tige et base"|"295042.898"|"5036307.665"|"34"|"1330275"
"166901"|"20120731000000"|"Réel"|"2- Tige et manchon"|"295874.688"|"5037639"|"34"|"1330375"
"85693"|"20080111000000"|"Réel"|"4- Poteau en bois"|"294532.732"|"5036831.266"|"34"|"1310015"
"54055"|"20080111000000"|"Réel"|"4- Poteau en bois"|"295102.8"|"5038354"|"34"|"1300360"
"110994"|"20080111000000"|"Réel"|"4- Poteau en bois"|"295344.391"|"5038327.55"|"34"|"1300324"
"78894"|"20080111000000"|"Réel"|"3- Fût"|"294859.827"|"5038881.034"|"34"|"1300451"
"92957"|"20120731000000"|"Réel"|"3- Fût"|"295757.25"|"5037458"|"34"|"1330379"
"53199"|"20080111000000"|"Réel"|"3- Fût"|"294717.428"|"5038977.983"|"34"|"1270200"
"92943"|"20120731000000"|"Réel"|"1- Tige et base"|"295832.344"|"5037573.5"|"34"|"1330377"
"48311"|"20120731000000"|"Réel"|"10- Fût et feux"|"295710.625"|"5037384.5"|"34"|"1600603"
"54125"|"20080111000000"|"Réel"|"10- Fût et feux"|"294570.435"|"5039067.062"|"34"|"1270292"
"78868"|"20080111000000"|"Réel"|"10- Fût et feux"|"294575.516"|"5039042.389"|"34"|"1300457"
"51171"|"20080111000000"|"Réel"|"10- Fût et feux"|"294408.273"|"5039170.572"|"34"|"1600366"
"51069"|"20080111000000"|"Réel"|"10- Fût et feux"|"294381.169"|"5039165.761"|"34"|"1291128"
"78846"|"20080111000000"|"Réel"|"10- Fût et feux"|"294249.847"|"5039247.789"|"34"|"1290046"
"79877"|"20080111000000"|"Réel"|"10- Fût et feux"|"294043.7"|"5039378.5"|"34"|"1291119"
"48279"|"20120731000000"|"Réel"|"3- Fût"|"295588.156"|"5037191"|"34"|"1310263"
"51213"|"20080111000000"|"Réel"|"4- Poteau en bois"|"294482.136"|"5039323.706"|"34"|"1600368"
"48272"|"20120731000000"|"Réel"|"3- Fût"|"295560.656"|"5037148"|"34"|"1310264"
"48270"|"20120731000000"|"Réel"|"3- Fût"|"295541.719"|"5037118.5"|"34"|"1310264"
"187036"|"20091215000000"|"Réel"|"4- Poteau en bois"|"294735.357"|"5039272.432"|"34"|"1270204"
"51271"|"20091215000000"|"Réel"|"1- Tige et base"|"294835.688"|"5039650.5"|"34"|"1270119"
"135614"|"20091215000000"|"Réel"|"10- Fût et feux"|"295499.969"|"5039437"|"34"|"1270363"
"46435"|"20091211000000"|"Réel"|"2- Tige et manchon"|"295391.063"|"5036151.5"|"34"|"1330241"
"139225"|"20010726000000"|"Réel"|"3- Fût"|"294408.883"|"5040473.187"|"34"|"1280001"
"93596"|"20091211000000"|"Réel"|"4- Poteau en bois"|"294923.656"|"5036409"|"34"|"1310162"
"93597"|"20091211000000"|"Réel"|"1- Tige et base"|"294926.875"|"5036433"|"34"|"1310162"
"93625"|"20091211000000"|"Réel"|"1- Tige et base"|"294888.563"|"5036447"|"34"|"1310163"
"47577"|"20091211000000"|"Réel"|"1- Tige et base"|"294857.156"|"5036429.5"|"34"|"1310198"
"47569"|"20091211000000"|"Réel"|"4- Poteau en bois"|"294850"|"5036418.5"|"34"|"1310198"
"47576"|"20091211000000"|"Réel"|"4- Poteau en bois"|"294787.063"|"5036458"|"34"|"1310198"
"47563"|"20091211000000"|"Réel"|"1- Tige et base"|"294726.438"|"5036510.5"|"34"|"1310198"
"80652"|"20120731000000"|"Réel"|"10- Fût et feux"|"294513.75"|"5035089"|"34"|"1320230"
"98450"|"20120731000000"|"Réel"|"2- Tige et manchon"|"294360.156"|"5034790"|"34"|"4009087"
"93384"|"20130711000000"|"Réel"|"3- Fût"|"295964.344"|"5037398"|"34"|"1330085"
"150550"|"20120731000000"|"Réel"|"2- Tige et manchon"|"294386.594"|"5034837"|"34"|"4009087"
