"CODE_RPA","DESCRIPTION_RPA"
"AD-CD","\A EN TOUT TEMPS DU COTE DROIT"
"AD-DC","\A EN TOUT TEMPS DES DEUX COTES"
"AD-JA","\A 07h-19h"
"AD-JB","\A 06h-19h"
"AD-JC","\A 00h-07h"
"AD-NM","\A 22h-07h"
"AD-TB","\A 08h-21h30"
"AD-TE","\A AUX CAMIONS"
"AD-TF","\A 08h-20h"
"AD-TG","\A 09h-22h"
"AD-TT","\A EN TOUT TEMPS"
"AD-TU","\A POMPIER URGENCE"
"AD-TW","\A EN TOUT TEMPS (ORANGE POUR TRAVAUX)"
"AE-JB","\A 08h-16h JOURS D'ECOLE"
"AE-JC","\A 08h-17h JOURS D'ECOLE"
"AE-JD","\A 07h30-16h JOURS D'ECOLE"
"AE-JE","\A 07h30-17h JOURS D`ECOLE"
"AE-JF","\A 07h-18h   JOURS D'ECOLE"
"AE-JH","\A 07h30-18h JOURS D'ECOLE"
"AE-JI","\A 07h-16h JOURS D'ECOLE"
"AE-JJ","\A 07h30-17h30 JOURS D'ECOLE"
"AE-JM","\A 07h-18h LUN A VEN SEPT. A JUIN"
"AE-QA","\A 08h-9h30 ET 15h-16h JOURS D`ECOLE"
"AE-QB","\A 07h30-08h30  ET  14h30-15H30  JOURS D'ECOLE"
"AE-QD","\A 07h-08h ET 13h-15h LUN A VEN SEPT. A JUIN EXCEPTE AUTOBUS SCOLAIRE"
"AE-QE","\A 08h-16h LUN A VEN SEPT. A JUIN EXCEPTE AUTOBUS SCOLAIRE"
"AR-AA","\A RESERVE AUTOBUS 07h-09h30 LUN. AU VEN."
"AR-JA","\A RESERVE AUTOBUS 08h-16h LUN. AU VEN."
"AR-PA","\A RESERVE AUTOBUS 15h-18h30 LUN. AU VEN."
"AR-TT","\A RESERVE AUTOBUS"
"AS-OS","\A EXCEPTE CAMION S.O.S."
"AV-AA","\A 07h-09h30 LUN. AU VEN."
"AV-AB","\A 08h-09h30 LUN. AU VEN."
"AV-AC","\A 07h-09h LUN. AU VEN."
"AV-AE","\A 05h30-09h LUN. AU VEN."
"AV-AF","\A 06h-09h LUN. AU VEN."
"AV-AG","\A 07h30-09h30 LUN. AU VEN."
"AV-AH","\A 06h-09h30 LUN. AU VEN."
"AV-AI","\A 06h-10h LUN. AU VEN."
"AV-AJ","\A 08h-09h  LUN. AU VEN."
"AV-AK","\A 06h30-09h LUN. AU VEN."
"AV-AL","\A 05h-09h LUN A VEN"
"AV-AM","\A 07h30-9h LUN. A VEN."
"AV-AN","\A 05h-09h30 LUN. AU VEN."
"AV-DA","\A 05h30-09h30  15h-19h LUNDI AU VENDREDI"
"AV-DB","\A 06h30-09h30  15h30-18h30 LUN. AU VEN."
"AV-DC","\A 06h30-09h30 LUN. AU VEN."
"AV-DE","\A 08h-09h30  15h30-18h30 LUNDI AU VENDREDI"
"AV-DF","\A 06h30-09h30  16h-18h LUNDI AU VENDREDI"
"AV-DG","\A 06h30-09h30  16h-18h30 LUN. AU VEN."
"AV-DH","\A 06h-09h30  15h-18h30 LUNDI AU VENDREDI"
"AV-JA","\A 07h-19h LUN. AU VEN."
"AV-JC","\A 07h-22h LUN. AU VEN."
"AV-JD","\A 08h-19h LUN. AU VEN."
"AV-JE","\A 07h30-16h LUN. AU VEN."
"AV-JF","\A 08h-23h LUN. AU VEN."
"AV-JG","\A 08h-16h LUN A VEN"
"AV-JH","\A 7h-18h30 LUN A VEN"
"AV-JI","\A 06h-19h LUN A VEN"
"AV-JJ","\A 06h30-18h30 LUN A VEN"
"AV-OC","\A 07h-18h LUN. AU VEN."
"AV-OD","\A 08h-18h  LUN. AU VEN."
"AV-PA","\A 14h30-15h30 LUN A VEN"
"AV-PB","\A 15h30-17h30 LUN. AU VEN."
"AV-PC","\A 14h-18h30 LUN. A VEN."
"AV-PF","\A 16h-18h30 LUN. AU VEN."
"AV-PJ","\A 16h-18h LUN. AU VEN."
"AV-PK","\A 15h30-18h LUN. AU VEN."
"AV-PL","\A 15h30-18h30 LUN. AU VEN."
"AV-PN","\A 15h-19h LUN. AU VEN."
"AV-PP","\A 15h-18h30 LUN. AU VEN."
"AV-PQ","\A 16h-17h30 LUN A VEN"
"AV-PR","\A 14h30-18h30 LUN A VEN"
"AV-QA","\A 06h-09h  15h-18h30 LUN. AU VEN."
"AV-QB","\A 07h-09h30  16h-18h30 LUN. AU VEN."
"AV-QC","\A 08h-09h30  16h-18h30 LUN. AU VEN."
"AV-QD","\A 07h-09h30  16h-18h LUN. AU VEN."
"AV-QE","\A 08h-09h30  16h-18h LUN. AU VEN."
"AV-QG","\A 06h-09h30  15h-19h LUN. AU VEN."
"AV-QH","\A 05h30-09h  16h-18h30 LUN. AU VEN."
"AV-QI","\A 07h-09h  16h-18h LUN. AU VEN."
"AV-QJ","\A 06h-09h  15h30-18h LUN. AU VEN."
"AV-QK","\A 07h-09h30  15h30-17h30 LUN. AU VEN."
"AV-QL","\A 07h-09h30  15h30-18h30 LUN. AU VEN."
"AV-QR","\A 06h30-09h30  15h30-17h30 LUN. AU VEN."
"AV-QS","\A 05h30-09h  15h-19h LUN. AU VEN."
"AV-QU","\A 07h-09h  16h-18h30 LUN. AU VEN."
"AV-QV","\A 06h-09h  16h-18h LUN. AU VEN."
"AV-QY","\A 08h-09h30  15h-19h LUN. AU VEN."
"AV-QZ","\A 07h-09h30  15h-19h LUN. AU VEN."
