"POTEAU_ID_POT","DATE_CONCEPTION_POT","DESCRIPTION_REP","DESCRIPTION_RTP","X","Y","ID_ARRONDISSEMENT","TRC_ID"
-2,20090909000000,"Réel","3- Fût","297644.544","5041796.411",5,
18747,20101213000000,"Réel","3- Fût","296507.063",5042552,5,1604028
18750,20100706000000,"Réel","3- Fût","296494.969",5042561,5,1604027
21116,20121213000000,"Réel","3- Fût","297100.844","5042168.5",5,1604077
21117,20090810000000,"Réel","1- Tige et base","297115.625","5042166.5",5,1604077
24536,20091203000000,"Réel","3- Fût","296761.719","5042383.5",5,1604029
24539,20130403000000,"Réel","1- Tige et base","296765.156","5042388.5",5,1604029
55048,20100213000000,"Réel","10- Fût et feux","297736.281",5041751,5,4011657
71096,20121213000000,"Réel","3- Fût","297342.063",5042014,5,1240178
71098,19991115000000,"Réel","2- Tige et manchon","297322.813",5042028,5,1240178
71099,19991115000000,"Réel","2- Tige et manchon","297293.576","5042047.259",5,1240179
71101,19991115000000,"Réel","2- Tige et manchon","297271.969",5042060,5,1240179
71103,20060123000000,"Réel","2- Tige et manchon","297259.594",5042068,5,1240179
96763,20001030000000,"Réel","1- Tige et base","295371.338","5041557.862",5,1603853
132186,20110111000000,"Réel","3- Fût","295991.094",5041163,5,1625084
152807,,"Réel","1- Tige et base","297688.431","5041681.064",5,1261205
152808,,"Réel","3- Fût","297696.399","5041688.275",5,1261205
152809,,"Réel","3- Fût","297699.039","5041693.695",5,1624234
152810,,"Réel","1- Tige et base","297698.206","5041695.745",5,1624234
152811,,"Réel","3- Fût","297708.079","5041701.366",5,1624234
152812,20140407000000,"Réel","3- Fût","297717.719","5041719.5",5,4011657
153291,,"Réel","1- Tige et base","297706.429","5041701.816",5,1624234
158504,20050704000000,"Réel","1- Tige et base","295680.5",5043078,5,
182118,20091116000000,"Réel","1- Tige et base",295714,5042451,5,1603918
182119,20091116000000,"Réel","1- Tige et base","295682.938",5042402,5,1603918
182120,20091215000000,"Réel","1- Tige et base","295669.844",5042381,5,1603918
182121,20120828000000,"Réel","1- Tige et base","295658.031",5042362,5,1603920
182122,20110831000000,"Réel","1- Tige et base","295650.563",5042350,5,1603920
182123,20091116000000,"Réel","1- Tige et base","295629.125",5042316,5,1603920
182124,20091116000000,"Réel","1- Tige et base","295623.688","5042307.5",5,1603920
182125,20131016000000,"Réel","1- Tige et base","295767.188","5042534.5",5,1603914
182126,20091116000000,"Réel","1- Tige et base","295743.031",5042496,5,1603914
182127,20091116000000,"Réel","1- Tige et base","295737.625","5042487.5",5,1603914
182128,20091116000000,"Réel","4- Poteau en bois","295836.219","5042647.5",5,1603910
182129,20091116000000,"Réel","1- Tige et base","295825.594","5042630.5",5,1603910
182130,20091116000000,"Réel","4- Poteau en bois","295819.969","5042621.5",5,1603912
182131,20101102000000,"Réel","4- Poteau en bois","295801.656","5042592.5",5,1603912
182132,20101102000000,"Réel","1- Tige et base","295787.625",5042570,5,1603912
182133,20091116000000,"Réel","4- Poteau en bois","295780.844","5042559.5",5,1603912
182134,20091116000000,"Réel","1- Tige et base","295576.156","5042233.5",5,1603921
182135,20091116000000,"Réel","1- Tige et base","295581.469","5042241.5",5,1603921
182136,20110401000000,"Réel","1- Tige et base","295600.563",5042273,5,1603921
182137,20091116000000,"Réel","2- Tige et manchon","295437.156",5042010,5,1603884
182138,20091116000000,"Réel","1- Tige et base","295464.906","5042056.5",5,1603884
182144,20091124000000,"Réel","1- Tige et base","295174.906",5041874,5,1603850
182145,20101203000000,"Réel","1- Tige et base","295203.938","5041919.5",5,1603850
182146,20090619000000,"Réel","1- Tige et base","295209.556","5041928.862",5,1603857
182147,20140203000000,"Réel","1- Tige et base","295158.656","5041848.5",5,1603849
182149,20101203000000,"Réel","1- Tige et base","295149.625",5041834,5,1603849
182169,20140813000000,"Réel","10- Fût et feux","295520.406","5042144.5",5,1603886
182171,20140813000000,"Réel","10- Fût et feux","295528.438","5042157.5",5,1603885
182173,20091116000000,"Réel","1- Tige et base","295531.813",5042162,5,1603885
182174,20101125000000,"Réel","1- Tige et base","295554.563",5042198,5,1603885
182175,20091116000000,"Réel","1- Tige et base","295515.813",5042136,5,1603886
182176,20091116000000,"Réel","1- Tige et base","295488.438","5042092.5",5,1603886
182177,20120207000000,"Réel","1- Tige et base","295483.75",5042085,5,1603886
182178,20091116000000,"Réel","1- Tige et base","295417.906","5041980.5",5,1603860
182179,20091116000000,"Réel","1- Tige et base","295396.781",5041947,5,1603860
182180,20091116000000,"Réel","1- Tige et base","295389.313",5041935,5,1603860
182181,20091116000000,"Réel","1- Tige et base","295371.75","5041907.5",5,1603858
182182,20091116000000,"Réel","1- Tige et base","295356.625","5041883.5",5,1603858
182183,20091116000000,"Réel","1- Tige et base","295345.125",5041865,5,1603858
182184,20091116000000,"Réel","1- Tige et base","295330.281","5041841.5",5,1603856
182185,20091116000000,"Réel","1- Tige et base","295295.719","5041786.5",5,1603856
182186,20091116000000,"Réel","1- Tige et base","295279.219",5041760,5,1603852
182187,20091116000000,"Réel","1- Tige et base","295259.813","5041729.5",5,1603852
182188,20091116000000,"Réel","1- Tige et base","295246.406","5041708.5",5,1603852
182189,20091116000000,"Réel","1- Tige et base","295230.469","5041682.5",5,1603847
182194,20100603000000,"Réel","3- Fût","295858.813","5042651.5",5,1603910
182195,20090622000000,"Réel","1- Tige et base","295875.572","5042678.266",5,1603909
182196,20100603000000,"Réel","3- Fût","295828.219","5042603.5",5,1603911
182197,20100603000000,"Réel","3- Fût","295803.625","5042563.5",5,1603912
182198,20091116000000,"Réel","1- Tige et base","295783.781",5042536,5,1603913
182199,20101102000000,"Réel","3- Fût","295780.688",5042531,5,1603914
182200,20101124000000,"Réel","3- Fût","295640.344",5042308,5,1603920
182201,20131105000000,"Réel","1- Tige et base","295664.719","5042346.5",5,1603920
182202,20090622000000,"Réel","3- Fût","295670.548","5042355.988",5,1603925
182203,20091116000000,"Réel","1- Tige et base","295625.406","5042284.5",5,1603922
182204,20091116000000,"Réel","3- Fût","295615.313",5042268,5,1603921
182205,20101221000000,"Réel","3- Fût","295588.688","5042225.5",5,1603921
182206,20091116000000,"Réel","1- Tige et base","295577.938",5042208,5,1604324
182207,20101207000000,"Réel","3- Fût","295561.063","5042181.5",5,1603885
182214,20140813000000,"Réel","10- Fût et feux","295540.406","5042148.5",5,1603888
182215,20091116000000,"Réel","1- Tige et base","295545.031",5042156,5,1603885
182216,20140813000000,"Réel","10- Fût et feux","295532.75",5042136,5,1603888
182217,20091116000000,"Réel","3- Fût","295531.563","5042134.5",5,1603888
182218,20110613000000,"Réel","1- Tige et base","295525.875",5042126,5,1603886
182219,20091116000000,"Réel","1- Tige et base","295494.906",5042077,5,1603886
182220,20091116000000,"Réel","3- Fût","295508.375",5042098,5,1603886
182221,20091116000000,"Réel","1- Tige et base","295484.281",5042060,5,1603889
182222,20091116000000,"Réel","3- Fût",295482,"5042056.5",5,1603884
182223,20091116000000,"Réel","3- Fût",295455,"5042013.5",5,1603884
182224,20091116000000,"Réel","3- Fût","295406.344","5041935.5",5,1603860
182225,20091116000000,"Réel","3- Fût","295418.344",5041955,5,1603860
182226,20091116000000,"Réel","3- Fût","295435.875",5041983,5,1603860
182227,20091116000000,"Réel","3- Fût","295374.813","5041886.5",5,1603858
182228,20120202000000,"Réel","3- Fût","295390.531","5041911.5",5,1603891
182229,20091116000000,"Réel","3- Fût","295321.938","5041802.5",5,1603856
182230,20091116000000,"Réel","3- Fût","295345.656",5041840,5,1603892
182231,20091116000000,"Réel","1- Tige et base","295295.969","5041761.5",5,1603855
182232,20091116000000,"Réel","3- Fût","295292.25","5041755.5",5,1603852
182233,20091116000000,"Réel","3- Fût","295262.031",5041707,5,1603852
182234,20091116000000,"Réel","1- Tige et base","295246.219","5041682.5",5,1603848
182235,20121213000000,"Réel","3- Fût","295232.813",5041661,5,1603847
182236,20091116000000,"Réel","1- Tige et base","295228.156","5041653.5",5,1603847
182238,20090622000000,"Réel","1- Tige et base","295683.521","5042375.119",5,1603918
182239,20090622000000,"Réel","3- Fût","295695.278","5042395.094",5,1603918
182240,20140516000000,"Réel","3- Fût","295722.219",5042438,5,1603918
182241,20110706000000,"Réel","1- Tige et base","295737.313",5042462,5,1603918
182242,20101123000000,"Réel","3- Fût","295751.531",5042484,5,1603914
182245,20091118000000,"Réel","1- Tige et base","295799.844",5042381,5,1603926
182247,20100616000000,"Réel","1- Tige et base","295799.313",5042380,5,1603926
182248,20101123000000,"Réel","1- Tige et base",295771,5042334,5,1603926
182249,20100616000000,"Réel","1- Tige et base","295817.969",5042410,5,1603927
182250,20120529000000,"Réel","1- Tige et base","295819.813","5042412.5",5,1603927
182252,20140616000000,"Réel","10- Fût et feux","295881.438",5042397,5,1603929
182253,20140303000000,"Réel","2- Tige et manchon","295882.563","5042398.5",5,1603929
182254,20131030000000,"Réel","2- Tige et manchon","295899.063",5042424,5,1603929
182255,20131030000000,"Réel","2- Tige et manchon","295905.969","5042434.5",5,1603929
182256,20091118000000,"Réel","3- Fût","295913.094",5042446,5,1603929
182257,20130121000000,"Réel","2- Tige et manchon","295926.75",5042469,5,1603930
182258,20091118000000,"Réel","3- Fût","295940.906","5042491.5",5,1603930
182260,20140319000000,"Réel","2- Tige et manchon","295943.688","5042495.5",5,1603930
182261,20140224000000,"Réel","2- Tige et manchon","295952.75",5042510,5,1603930
182262,20091118000000,"Réel","10- Fût et feux","295961.719","5042524.5",5,1603930
182264,20131128000000,"Réel","10- Fût et feux","295973.125",5042542,5,1603931
182265,20091201000000,"Réel","3- Fût","296004.656","5042592.5",5,1603931
182266,20140414000000,"Réel","10- Fût et feux","296040.813",5042656,5,1603907
182267,20091118000000,"Réel","3- Fût","296036.188","5042642.5",5,1603932
182268,20091118000000,"Réel","10- Fût et feux","296051.313","5042670.5",5,1603951
182269,20091118000000,"Réel","3- Fût","296067.406","5042691.5",5,1603951
182270,20091118000000,"Réel","3- Fût","296097.688",5042739,5,1603949
182271,20140205000000,"Réel","3- Fût","296129.875","5042790.5",5,1603949
182278,20091118000000,"Réel","10- Fût et feux","296059.25",5042645,5,1603953
182279,20091118000000,"Réel","1- Tige et base","296057.594",5042645,5,1603953
182280,20091118000000,"Réel","10- Fût et feux","296066.125",5042663,5,1603951
182281,20091118000000,"Réel","3- Fût","296094.125",5042707,5,1603951
182282,20140310000000,"Réel","3- Fût","296126.25",5042758,5,1603949
182284,20091201000000,"Réel","3- Fût",296033,"5042609.5",5,1603932
182285,20091118000000,"Réel","10- Fût et feux","295984.656",5042533,5,1603931
182286,20091118000000,"Réel","3- Fût","296001.656",5042560,5,1603931
182287,20131030000000,"Réel","10- Fût et feux","295973.719","5042516.5",5,1603955
182288,20091118000000,"Réel","3- Fût","295969.219",5042509,5,1603930
182289,20101123000000,"Réel","3- Fût","295939.063","5042461.5",5,1603930
182291,20091118000000,"Réel","10- Fût et feux","295896.031",5042387,5,1603933
182293,20091118000000,"Réel","3- Fût","295908.75","5042413.5",5,1603929
182294,20091118000000,"Réel","3- Fût",295877,"5042361.5",5,1603928
182295,20091118000000,"Réel","10- Fût et feux","295827.938",5042284,5,1603928
182296,20091118000000,"Réel","3- Fût","295846.281",5042313,5,1603928
182297,20091118000000,"Réel","3- Fût","295813.219","5042260.5",5,1603923
182298,20091118000000,"Réel","10- Fût et feux","295779.844","5042207.5",5,1603923
182299,20091118000000,"Réel","10- Fût et feux","295769.344",5042191,5,1603941
182300,20121101000000,"Réel","2- Tige et manchon","295766.313","5042186.5",5,1603899
182301,20140402000000,"Réel","10- Fût et feux","295757.469","5042199.5",5,1603899
182302,20091118000000,"Réel","2- Tige et manchon","295754.375","5042194.5",5,1603899
182303,20091118000000,"Réel","10- Fût et feux","295766.875",5042214,5,1603923
182304,20091118000000,"Réel","2- Tige et manchon","295767.781","5042215.5",5,1603923
182306,20091118000000,"Réel","10- Fût et feux","295814.5","5042290.5",5,1603928
182308,20120829000000,"Réel","10- Fût et feux","295804.563","5042274.5",5,1603923
182309,20131105000000,"Réel","2- Tige et manchon","295789.656",5042250,5,1603923
182310,20100302000000,"Réel","2- Tige et manchon","295779.031",5042233,5,1603923
182311,20091118000000,"Réel","2- Tige et manchon","295772.125",5042222,5,1603923
182312,20091118000000,"Réel","10- Fût et feux","295870.688",5042380,5,1603928
182313,20091118000000,"Réel","3- Fût","295849.125",5042345,5,1603928
182314,20101208000000,"Réel","3- Fût","295769.219","5042357.5",5,1603926
182315,20091118000000,"Réel","1- Tige et base","295789.469",5042390,5,1603926
182316,20100616000000,"Réel","3- Fût","295795.719",5042400,5,1603926
182318,20120823000000,"Réel","1- Tige et base","295807.406",5042419,5,1603926
182320,20091118000000,"Réel","2- Tige et manchon","295735.656","5042164.5",5,1603899
182321,20091118000000,"Réel","2- Tige et manchon","295727.375","5042151.5",5,1603899
182322,20091118000000,"Réel","2- Tige et manchon","295724.406","5042146.5",5,1603899
182323,20091118000000,"Réel","10- Fût et feux","295720.875",5042141,5,1603899
182324,20090623000000,"Réel","10- Fût et feux","295735.916","5042137.849",5,4000829
182325,20101129000000,"Réel","3- Fût","295749.125","5042158.5",5,1603899
182326,20091118000000,"Réel","3- Fût","295717.219","5042107.5",5,1603898
182327,20091118000000,"Réel","10- Fût et feux","295708.625","5042121.5",5,1603898
182328,20101202000000,"Réel","10- Fût et feux","295686.156",5042058,5,1603898
182329,20091118000000,"Réel","10- Fût et feux","295676.875",5042044,5,1603947
182330,20091118000000,"Réel","2- Tige et manchon","295664.156","5042024.5",5,1603897
182331,20091118000000,"Réel","3- Fût","295654.063","5042008.5",5,1603897
182332,20091118000000,"Réel","10- Fût et feux","295673.344",5042066,5,1603898
182334,20101129000000,"Réel","3- Fût","295688.688",5042090,5,1603898
182336,20091118000000,"Réel","10- Fût et feux","295663.906","5042050.5",5,1603897
182337,20101129000000,"Réel","3- Fût","295656.344",5042039,5,1603897
182338,20091118000000,"Réel","10- Fût et feux",295627,"5041992.5",5,1603897
182339,20091118000000,"Réel","10- Fût et feux",295639,"5041984.5",5,1603957
182340,20090623000000,"Réel","10- Fût et feux","295632.313","5041967.242",5,1603957
182341,20091118000000,"Réel","3- Fût","295622.313",5041958,5,1603896
182342,20091118000000,"Réel","10- Fût et feux","295614.563",5041975,5,1603896
182343,20091118000000,"Réel","10- Fût et feux","295592.313","5041910.5",5,1603904
182344,20091118000000,"Réel","2- Tige et manchon","295596.094","5041916.5",5,1603896
182345,20091118000000,"Réel","10- Fût et feux","295583.313","5041892.5",5,1603904
182346,20091117000000,"Réel","3- Fût","295531.25","5041844.5",5,1603895
182347,20091117000000,"Réel","1- Tige et base","295534.406","5041849.5",5,1603895
182348,20100916000000,"Réel","3- Fût","295561.313",5041893,5,1603895
182349,20091118000000,"Réel","10- Fût et feux","295568.156",5041904,5,1603895
182350,20091118000000,"Réel","10- Fût et feux","295580.938","5041919.5",5,1603896
182351,20091118000000,"Réel","3- Fût","295595.344","5041942.5",5,1603896
182352,20100216000000,"Réel","3- Fût","295566.5",5041865,5,1603895
182353,20091118000000,"Réel","3- Fût","295534.281","5041813.5",5,1603903
182354,20091118000000,"Réel","3- Fût","295519.219",5041790,5,1603894
182356,20091118000000,"Réel","10- Fût et feux","295502.281","5041763.5",5,1603902
182357,20091117000000,"Réel","10- Fût et feux","295486.438",5041773,5,1603894
182358,20091117000000,"Réel","3- Fût",295500,5041795,5,1603894
182359,20091118000000,"Réel","10- Fût et feux","295492.25","5041747.5",5,1603902
182360,20101203000000,"Réel","3- Fût","295472.438",5041716,5,1603893
182361,20091117000000,"Réel","10- Fût et feux","295476.188",5041758,5,1603893
182362,20091117000000,"Réel","3- Fût","295468.094","5041744.5",5,1603893
182363,20091118000000,"Réel","3- Fût","295437.563",5041696,5,1603893
182364,20091118000000,"Réel","3- Fût","295435.719","5041657.5",5,1603854
182365,20121213000000,"Réel","10- Fût et feux","295402.969",5041606,5,1603854
182366,20091118000000,"Réel","1- Tige et base","295386.875",5041615,5,1603854
182367,20091118000000,"Réel","10- Fût et feux","295388.313","5041617.5",5,1603854
182368,20101203000000,"Réel","3- Fût",295404,"5041642.5",5,1603854
182369,20091118000000,"Réel","10- Fût et feux","295377.375","5041600.5",5,1603848
182370,20101203000000,"Réel","3- Fût",295371,5041590,5,1603853
182371,20090623000000,"Réel","10- Fût et feux","295393.438","5041590.188",5,1603900
182373,20101203000000,"Réel","1- Tige et base","295382.688",5041572,5,1603853
182394,20140311000000,"Réel","1- Tige et base","295695.063",5042968,5,1608999
182395,20100527000000,"Réel","1- Tige et base","295701.688",5042964,5,1608999
182396,20100527000000,"Réel","4- Poteau en bois","295787.344","5042908.5",5,1608999
182397,20091123000000,"Réel","2- Tige et manchon","295798.344","5042901.5",5,1608999
182398,20100527000000,"Réel","4- Poteau en bois","295800.219",5042900,5,1608999
182399,20100527000000,"Réel","4- Poteau en bois","295828.875","5042882.5",5,1608999
182400,20101123000000,"Réel","4- Poteau en bois","295878.281",5042851,5,1608999
182401,20091123000000,"Réel","1- Tige et base","295879.125","5042850.5",5,1608999
182403,20100527000000,"Réel","4- Poteau en bois","295920.156",5042824,5,1608998
182404,20101123000000,"Réel","2- Tige et manchon","295906.875",5042861,5,4010085
182405,20091123000000,"Réel","2- Tige et manchon","295919.625",5042881,5,4010085
182406,20091106000000,"Réel","6- Base amovible","295934.813",5042905,5,4010085
182408,20090625000000,"Réel","3- Fût","295912.556","5042900.23",5,4010085
182409,20121213000000,"Réel","3- Fût","295920.656","5042913.5",5,4010085
182410,20091106000000,"Réel","1- Tige et base","295924.313",5042920,5,
182411,20100527000000,"Réel","3- Fût","295892.844",5042868,5,4010085
182412,20100527000000,"Réel","3- Fût","295884.375","5042866.5",5,1608999
182413,20110510000000,"Réel","2- Tige et manchon","295933.625",5042836,5,1608998
182414,20100527000000,"Réel","3- Fût","295844.875","5042891.5",5,1608999
182415,20100527000000,"Réel","3- Fût","295798.375","5042921.5",5,1608999
182416,20100527000000,"Réel","3- Fût","295755.438","5042948.5",5,1608999
182417,20100527000000,"Réel","3- Fût","295703.875","5042981.5",5,1608999
182418,20140108000000,"Réel","3- Fût","295694.875",5043059,5,4010087
182419,20091123000000,"Réel","1- Tige et base","295680.906",5043074,5,
182420,20091123000000,"Réel","1- Tige et base","295679.906",5043066,5,
182421,20091123000000,"Réel","1- Tige et base","295678.531","5043054.5",5,4010087
182422,20110510000000,"Réel","1- Tige et base","295676.375","5043035.5",5,4010087
182423,20091124000000,"Réel","1- Tige et base","296157.719","5042194.5",5,1603985
182424,20100611000000,"Réel","1- Tige et base","296164.469","5042180.5",5,1603985
182425,20090625000000,"Réel","1- Tige et base","296168.773","5042187.569",5,1603985
182426,20091124000000,"Réel","1- Tige et base","296132.063","5042129.5",5,1603985
182427,20100611000000,"Réel","1- Tige et base","296140.125",5042142,5,1603985
182428,20100611000000,"Réel","1- Tige et base","296117.125",5042106,5,1603985
182429,20091124000000,"Réel","1- Tige et base","296057.531","5042185.5",5,1603966
182430,20091124000000,"Réel","1- Tige et base","296039.625",5042157,5,1603966
182431,20131122000000,"Réel","1- Tige et base","296035.594","5042150.5",5,1603966
182432,20101129000000,"Réel","1- Tige et base","295997.844","5042088.5",5,1603965
182433,20091124000000,"Réel","1- Tige et base","295989.938",5042076,5,1603965
182434,20091124000000,"Réel","1- Tige et base","296259.688","5042478.5",5,1603970
182435,20091124000000,"Réel","1- Tige et base","296276.844",5042506,5,1603975
182436,20091124000000,"Réel","1- Tige et base","295943.906",5042004,5,1603964
182437,20130627000000,"Réel","1- Tige et base","295950.75","5042015.5",5,1603964
182438,20101202000000,"Réel","1- Tige et base","295921.156","5041967.5",5,1603946
182439,20090625000000,"Réel","1- Tige et base","295709.365","5041630.467",5,1603905
182440,20091124000000,"Réel","1- Tige et base","295717.469",5041643,5,1603905
182441,20101202000000,"Réel","1- Tige et base","295736.531","5041673.5",5,1603905
182442,20101202000000,"Réel","1- Tige et base","295699.719",5041616,5,1603906
182443,20091124000000,"Réel","1- Tige et base","295660.5","5041553.5",5,1603906
182444,20091124000000,"Réel","1- Tige et base","295666.813","5041563.5",5,1603906
182446,20091124000000,"Réel","1- Tige et base","295649.75","5041535.5",5,1603959
182447,20091124000000,"Réel","1- Tige et base","295620.719",5041490,5,1603959
182448,20091124000000,"Réel","1- Tige et base","295610.063","5041473.5",5,1603959
182449,20091124000000,"Réel","1- Tige et base","295600.25",5041459,5,1603900
182450,20110112000000,"Réel","1- Tige et base","295584.469",5041432,5,1603958
182452,20131209000000,"Réel","1- Tige et base","295753.5","5041700.5",5,1603961
182453,20091124000000,"Réel","1- Tige et base","295758.313","5041708.5",5,1603961
182454,20101202000000,"Réel","1- Tige et base",295786,"5041752.5",5,1603961
182455,20091124000000,"Réel","1- Tige et base","295800.344","5041776.5",5,1603962
182456,20091124000000,"Réel","1- Tige et base","295809.281","5041789.5",5,1603962
182457,20091124000000,"Réel","1- Tige et base","295834.094","5041828.5",5,1603962
182458,20091124000000,"Réel","1- Tige et base","295830.219",5041822,5,1603962
182459,20091124000000,"Réel","1- Tige et base","295847.094","5041849.5",5,1603963
182460,20091124000000,"Réel","1- Tige et base","295853.625",5041860,5,1603963
