"POTEAU_ID_POT","DATE_CONCEPTION_POT","DESCRIPTION_REP","DESCRIPTION_RTP","X","Y","ID_ARRONDISSEMENT","TRC_ID"
54632,20100527000000,"Réel","1- Tige et base","299065.094",5037609,20,1370016
54633,20100527000000,"Réel","4- Poteau en bois","299088.656",5037590,20,1370016
54634,20121114000000,"Réel","4- Poteau en bois","299195.25","5037470.5",20,1370014
54636,20120207000000,"Réel","3- Fût","299177.04","5037492.582",20,1370014
54637,20140502000000,"Réel","4- Poteau en bois","299164.563","5037506.5",20,1370014
54638,20140127000000,"Réel","4- Poteau en bois","299148.156","5037523.5",20,1371045
54639,20130305000000,"Réel","4- Poteau en bois","299159.625",5037533,20,1371044
54640,20120723000000,"Réel","2- Tige et manchon","299171.094","5037517.5",20,1370014
54642,20060113000000,"Réel","10- Fût et feux","299202.567","5037480.058",20,1370014
54643,19990913000000,"Réel","11- Pot. bois/feux","299207.531","5037479.5",20,1370177
54644,20130305000000,"Réel","2- Tige et manchon","299150.563","5037542.5",20,1370015
54646,,"Réel","2- Tige et manchon","299120.495","5037577.167",20,1370015
54647,19990913000000,"Réel","4- Poteau en bois","299125.313","5037550.875",20,1370015
54648,20140127000000,"Réel","4- Poteau en bois","299111.344","5037566.5",20,1370015
54650,20140616000000,"Réel","1- Tige et base","299073.188","5037618.5",20,1370016
54692,20140127000000,"Réel","4- Poteau en bois","299270.563","5037735.5",20,1370048
54693,20140127000000,"Réel","4- Poteau en bois","299260.219",5037744,20,1370048
54694,19990913000000,"Réel","4- Poteau en bois","299296.251","5037757.175",20,1370048
54695,20140127000000,"Réel","4- Poteau en bois","299322.906",5037779,20,1370048
54696,20140127000000,"Réel","4- Poteau en bois","299342.594","5037795.5",20,1370048
54697,19990913000000,"Réel","4- Poteau en bois","299279.763","5037759.555",20,1370048
54698,19990913000000,"Réel","4- Poteau en bois","299291.649","5037769.486",20,1370048
54700,19990913000000,"Réel","4- Poteau en bois","299334.656","5037807.58",20,1370048
54701,20140127000000,"Réel","4- Poteau en bois","299364.063","5037834.5",20,1370048
54702,19990913000000,"Réel","4- Poteau en bois","299393.944","5037860.475",20,1370048
54703,20140127000000,"Réel","4- Poteau en bois","299414.938",5037879,20,1370048
54704,20070418000000,"Réel","2- Tige et manchon","299429.627","5037890.428",20,1370048
54705,20070418000000,"Réel","4- Poteau en bois","299429.379","5037895.868",20,1370949
54707,20140127000000,"Réel","4- Poteau en bois","299428.094","5037872.5",20,1370048
54708,19990913000000,"Réel","4- Poteau en bois","299402.77","5037847.974",20,1370048
54709,20140127000000,"Réel","4- Poteau en bois",299373,5037824,20,1370048
54749,20120510000000,"Réel","1- Tige et base","299932.406",5037061,20,1370118
54750,,"Réel","2- Tige et manchon","299935.844","5037073.5",20,1370118
54751,20120510000000,"Réel","2- Tige et manchon","299887.906",5037098,20,1370118
54754,19990914000000,"Réel","4- Poteau en bois","299866.185","5037092.901",20,1600442
54755,20120510000000,"Réel","4- Poteau en bois","299899.188","5037081.5",20,1370118
54756,20120510000000,"Réel","9- Autres","299902.656",5037077,20,1370118
54757,19990914000000,"Réel","4- Poteau en bois","299924.594","5037067.5",20,1370118
54785,20120423000000,"Réel","4- Poteau en bois","300197.949","5037773.377",20,1600444
54786,20120423000000,"Réel","4- Poteau en bois","300191.574","5037787.038",20,1600444
54787,20120423000000,"Réel","4- Poteau en bois","300176.925","5037787.227",20,1600444
54788,19990914000000,"Réel","4- Poteau en bois","300139.425","5037787.697",20,1600444
54789,19990914000000,"Réel","4- Poteau en bois","300102.503","5037788.33",20,1600444
54790,20120423000000,"Réel","4- Poteau en bois","300077.463","5037788.564",20,1600444
54791,19990914000000,"Réel","4- Poteau en bois","300033.015","5037789.233",20,1600444
54794,20120423000000,"Réel","13- Poteau en acier","300085.806","5037771.913",20,1600444
