"POTEAU_ID_POT","DATE_CONCEPTION_POT","DESCRIPTION_REP","DESCRIPTION_RTP","X","Y","ID_ARRONDISSEMENT","TRC_ID"
9495,19990518000000,"Réel","10- Fût et feux","293622.01","5047545.85",23,4004354
9496,19990518000000,"Réel","11- Pot. bois/feux","293630.819","5047559.941",23,4004354
9610,20080211000000,"Réel","1- Tige et base","293249.714","5048325.665",23,1060014
9614,19990519000000,"Réel","4- Poteau en bois","293265.575","5048301.573",23,1060014
9615,20100928000000,"Réel","1- Tige et base","293311.5","5048287.5",23,1060014
9617,20060905000000,"Réel","1- Tige et base","293366.386","5048255.049",23,1060014
9618,20060905000000,"Réel","1- Tige et base","293414.886","5048226.186",23,1060014
9619,20050218000000,"Réel","1- Tige et base","293459.51","5048199.013",23,1060014
9620,19990519000000,"Réel","1- Tige et base","293466.867","5048211.904",23,1060014
9621,19990519000000,"Réel","4- Poteau en bois","293456.285","5048217.995",23,1060014
9622,20080617000000,"Réel","4- Poteau en bois","293433.969",5048231,23,1060014
9623,19990519000000,"Réel","4- Poteau en bois","293405.401","5048247.948",23,1060014
9624,20080617000000,"Réel","4- Poteau en bois","293381.719",5048262,23,1060014
9625,19990519000000,"Réel","4- Poteau en bois","293356.959","5048276.821",23,1060014
9626,20080612000000,"Réel","4- Poteau en bois","293326.219","5048295.5",23,1060014
9628,19990519000000,"Réel","4- Poteau en bois","293294.931","5048313.974",23,1060014
9630,19990519000000,"Réel","4- Poteau en bois","293284.175","5048333.406",23,1060014
9633,20100928000000,"Réel","4- Poteau en bois","293264.75","5048331.5",23,1060014
9649,19990519000000,"Réel","1- Tige et base","292896.938","5047730.5",23,1060042
9652,20091208000000,"Réel","1- Tige et base","292901.938",5047743,23,1060042
9655,19990519000000,"Réel","4- Poteau en bois","292932.822","5047709.766",23,1060042
9656,19990519000000,"Réel","4- Poteau en bois","292964.594","5047690.754",23,1060042
9657,20091208000000,"Réel","1- Tige et base","292999.719","5047684.5",23,1060042
9661,20041208000000,"Réel","1- Tige et base","293104.684","5047606.556",23,1060042
9663,20060120000000,"Réel","4- Poteau en bois","293110.779","5047619.177",23,1060042
9664,20131101000000,"Réel","4- Poteau en bois","293095.719","5047612.5",23,1060042
9665,19990519000000,"Réel","4- Poteau en bois","293062.922","5047632.498",23,1060042
9667,19990519000000,"Réel","4- Poteau en bois","293028.51","5047653.24",23,1060042
9669,20131101000000,"Réel","4- Poteau en bois","293003.75","5047667.5",23,1060042
