"POTEAU_ID_POT","DATE_CONCEPTION_POT","DESCRIPTION_REP","DESCRIPTION_RTP","X","Y","ID_ARRONDISSEMENT","TRC_ID"
1042,20040720000000,"Réel","10- Fût et feux","300511.014","5046071.348",24,1190163
1043,20140402000000,"Réel","3- Fût","300518.75","5046068.5",24,1190298
1044,20091022000000,"Réel","2- Tige et manchon","300518.531",5046086,24,1190298
1045,,"Réel","10- Fût et feux","300521.679","5046084.309",24,1190298
1046,20090309000000,"Réel","10- Fût et feux","300536.656",5046061,24,1190200
1055,19990420000000,"Réel","10- Fût et feux","300213.374","5046239.454",24,1190144
1056,19990420000000,"Réel","9- Autres","300216.912","5046237.824",24,1190144
1058,20140412000000,"Réel","1- Tige et base","300250.781","5046223.5",24,1190144
1059,20040720000000,"Réel","10- Fût et feux","299911.065","5046348.755",24,1190294
1060,20040720000000,"Réel","1- Tige et base","299973.265","5046319.102",24,1190294
1061,20120803000000,"Réel","1- Tige et base","300021.25","5046297.5",24,1190294
1062,20070131000000,"Réel","2- Tige et manchon","300090.119","5046265.937",24,1190294
1063,19990421000000,"Réel","9- Autres","299693.573","5046477.257",24,1190146
1064,19990421000000,"Réel","10- Fût et feux","299686.075","5046480.497",24,1190146
1065,20140412000000,"Réel","1- Tige et base","299714.438","5046467.5",24,1190146
1066,20140412000000,"Réel","1- Tige et base","299820.438",5046419,24,1190146
1067,20091029000000,"Réel","10- Fût et feux","299898.938","5046383.5",24,1190146
1070,20080527000000,"Réel","10- Fût et feux","299457.813","5046554.5",24,1190292
1071,20070315000000,"Réel","1- Tige et base","299549.368","5046513.38",24,1190292
1072,20120817000000,"Réel","1- Tige et base","299634.031","5046471.5",24,1190292
1073,19990421000000,"Réel","9- Autres","299661.075","5046463.636",24,1190292
1074,20040720000000,"Réel","10- Fût et feux","299663.376","5046459.295",24,1190292
1077,19990421000000,"Réel","9- Autres","299061.504","5046768.555",24,1181006
1078,20091106000000,"Réel","1- Tige et base","299072.719","5046789.5",24,1180537
1079,20091106000000,"Réel","1- Tige et base","299082.125","5046769.5",24,1180537
1080,20140412000000,"Réel","1- Tige et base","299119.781",5046741,24,1180212
1081,20140412000000,"Réel","1- Tige et base","299231.094",5046690,24,1180212
1082,20091210000000,"Réel","10- Fût et feux","299242.875","5046684.5",24,1180212
1083,20100922000000,"Réel","10- Fût et feux","298870.688",5046819,24,1170082
1084,20090209000000,"Réel","1- Tige et base","298900.625",5046810,24,1170302
1085,20091030000000,"Réel","1- Tige et base","298948.844",5046789,24,1170302
1086,20040720000000,"Réel","1- Tige et base","298977.594","5046776.536",24,1170302
1087,19990421000000,"Réel","9- Autres","299008.468","5046764.365",24,1170302
1088,19990421000000,"Réel","1- Tige et base","299011.726","5046760.804",24,1170302
1089,20040602000000,"Réel","10- Fût et feux","299014.027","5046757.704",24,1170302
1106,20090930000000,"Réel","10- Fût et feux","298887.406","5046850.5",24,1170083
1107,19990421000000,"Réel","1- Tige et base","298888.4",5046846,24,1170103
1108,20040720000000,"Réel","1- Tige et base","298909.496","5046835.452",24,1170103
1109,20140412000000,"Réel","1- Tige et base","298969.469",5046809,24,1170103
1110,19990421000000,"Réel","1- Tige et base",298991,"5046799.5",24,1170103
1111,,"Réel","10- Fût et feux","299032.148","5046783.937",24,1170131
1112,20100922000000,"Réel","10- Fût et feux","298853.344","5046828.5",24,1170082
1113,20120821000000,"Réel","11- Pot. bois/feux","298853.563","5046826.5",24,1170082
1115,19990421000000,"Réel","9- Autres","298847.38",5046833,24,1170301
1116,20090316000000,"Réel","2- Tige et manchon","298810.469","5046848.5",24,1170301
1121,20040720000000,"Réel","1- Tige et base","298611.195","5046967.834",24,1170104
1127,20140412000000,"Réel","1- Tige et base","298744.031",5046909,24,1170104
1135,20040720000000,"Réel","10- Fût et feux","298561.136","5046958.993",24,1170300
1136,19990421000000,"Réel","9- Autres",298557,"5046962.5",24,1170300
1138,20040720000000,"Réel","1- Tige et base","298519.144","5046979.575",24,1170300
1144,19990421000000,"Réel","9- Autres","298304.68","5047103.417",24,1170105
1145,20140412000000,"Réel","1- Tige et base","298331.688",5047091,24,1170105
1147,20140412000000,"Réel","1- Tige et base","298410.656","5047056.5",24,1170105
1152,20130712000000,"Réel","10- Fût et feux","298262.344",5047088,24,1170161
1153,20040720000000,"Réel","1- Tige et base","298257.72",5047095,24,1170299
1154,20040720000000,"Réel","1- Tige et base","298234.932","5047105.098",24,1170299
1155,20070410000000,"Réel","1- Tige et base","298192.964","5047123.649",24,1170299
1168,20040715000000,"Réel","1- Tige et base","298001.067","5047238.04",24,1170106
1176,20140412000000,"Réel","1- Tige et base","298139.156","5047176.5",24,1170106
1330,20081028000000,"Réel","3- Fût","298032.406","5047384.5",24,1080578
