"POTEAU_ID_POT","DATE_CONCEPTION_POT","DESCRIPTION_REP","DESCRIPTION_RTP","X","Y","ID_ARRONDISSEMENT","TRC_ID"
75415,19991130000000,"Réel","4- Poteau en bois","284587.527","5040975.276",31,1610882
216034,20140404000000,"Réel","1- Tige et base","280014.063",5041154,31,1622170
216039,20110311000000,"Réel","1- Tige et base","280719.438",5040756,31,1621827
220215,20140715000000,"Réel","1- Tige et base","273927.563",5035759,31,1619524
224410,20130227000000,"Réel","1- Tige et base","276948.594","5040907.5",31,1620717
224414,20130227000000,"Réel","1- Tige et base","276905.125",5040905,31,1620717
224420,20130219000000,"Réel","1- Tige et base",276889,5040894,31,1620717
216052,20110314000000,"Enlevé","1- Tige et base","280736.791","5040744.114",31,1621827
216053,20110314000000,"Enlevé","1- Tige et base","280821.219",5040704,31,1621826
220128,20120416000000,"Enlevé","1- Tige et base","283935.318","5040795.369",31,4004438
224411,20130222000000,"Enlevé","1- Tige et base","276922.813",5040892,31,1620717
224412,20130219000000,"Enlevé","1- Tige et base","276908.079","5040898.18",31,1620717
224415,20130227000000,"Enlevé","1- Tige et base",276916,5040883,31,1620728
224417,20130219000000,"Enlevé","1- Tige et base","278173.063","5039916.5",31,4008154
224418,20130219000000,"Enlevé","1- Tige et base","278080.156",5039842,31,4008154
224419,20130219000000,"Enlevé","1- Tige et base","278120.938",5039877,31,4008154
224421,20130227000000,"Enlevé","1- Tige et base","276877.375",5040885,31,1620717
224439,20130220000000,"Enlevé","1- Tige et base","276895.602","5040807.209",31,4006447
224440,20130220000000,"Enlevé","1- Tige et base","276922.33","5040790.738",31,4006447
216031,20110310000000,"En conception","1- Tige et base","280783.809","5040697.942",31,1621827
216032,20110311000000,"En conception","1- Tige et base","280716.156",5040792,31,1621827
216035,20110314000000,"En conception","1- Tige et base","280745.719","5040782.5",31,1621827
216036,20110314000000,"En conception","4- Poteau en bois","280731.125","5040775.5",31,1621827
216044,20110314000000,"En conception","4- Poteau en bois","280745.816","5040760.085",31,1621827
216045,20110314000000,"En conception","11- Pot. bois/feux","280726.416","5040782.962",31,1621827
216048,20110314000000,"En conception","4- Poteau en bois","280756.625","5040745.673",31,1621827
216049,20110314000000,"En conception","1- Tige et base","280736.961","5040744.217",31,1621827
216050,20110314000000,"En conception","1- Tige et base","280775.252","5040726.694",31,1621827
216054,20110314000000,"En conception","1- Tige et base","280742.469",5040767,31,1621827
219962,20120326000000,"En conception","1- Tige et base","282795.569","5040811.622",31,1609627
219963,20120326000000,"En conception","1- Tige et base","282848.254","5040768.563",31,1609626
220192,20120424000000,"En conception","1- Tige et base","273784.58","5035671.444",31,1619526
220201,20120424000000,"En conception","1- Tige et base","273781.969",5035669,31,1619526
220211,20120427000000,"En conception","2- Tige et manchon","281284.313","5041119.5",31,4004229
220212,20120427000000,"En conception","4- Poteau en bois","281320.184","5041109.503",31,4004229
220213,20120430000000,"En conception","1- Tige et base","273763.813","5035687.5",31,4009672
220214,20120430000000,"En conception","1- Tige et base","273760.531",5035694,31,4009672
220216,20120430000000,"En conception","1- Tige et base","273694.188","5035804.5",31,4009672
220223,20120501000000,"En conception","1- Tige et base","273828.719",5035550,31,4009673
220224,20120501000000,"En conception","1- Tige et base","273855.969",5035552,31,4009673
220225,20120501000000,"En conception","1- Tige et base","283914.344",5040769,31,4004438
222505,20120910000000,"En conception","1- Tige et base","273870.168","5035722.992",31,1619525
222526,20120911000000,"En conception","1- Tige et base","273827.643","5035700.763",31,1619526
224416,20140407000000,"En conception","1- Tige et base","277206.188","5040875.5",31,1620760
